episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,success,crashed,timed_out,stuck
58,0,-0.3666585893113587,72.39385223388672,0.005960290471736544,0.03763096034526825,27.961636371910572,56,0.0,0.009837053310075559,0.0,0.16582831638394283,0.0,0.08,0.0735232006907463,0.02747001892659399,False,False,False,False
58,1,-0.26813567502350805,72.39385223388672,0.00310360006354261,0.03762581944465637,28.667514324188232,56,0.0,0.010953486951318508,0.0,0.09248904483853267,0.0,0.08,0.07085058504343032,0.0038425581902265544,False,False,False,False
58,2,-0.1976529664450583,72.39385223388672,0.006172098823295525,0.03755016624927521,28.34563046693802,56,0.0,0.010304477251864834,0.0,0.025639145546540478,0.0,0.08,0.07131037777662277,0.00039896587003022434,False,False,False,False
58,3,-0.1713233029106706,72.39385223388672,0.0065332045557159315,0.03745731711387634,28.38305465877056,56,0.0,0.009924211786135962,0.0,0.0,0.0,0.08,0.07123456072807313,0.0001645303964614868,False,False,False,False
58,4,-0.17126202661329115,72.39385223388672,0.0057654000582418865,0.037370577454566956,28.328401297330856,56,0.0,0.00983424151590261,0.0,0.0,0.0,0.08,0.07132664269208909,0.00010114240529946982,False,False,False,False
58,5,-0.17132839766676874,72.39385986328125,0.004670559297440459,0.03729839622974396,28.294744938611984,56,-7.62939453125e-06,0.009830075299100597,0.0,0.0,0.0,0.08,0.0713918063044548,9.88866686820984e-05,False,False,False,False
58,6,-0.17137278139037257,72.39385986328125,0.0035892781749021683,0.03724156320095062,28.26013907790184,56,0.0,0.009817840631401053,0.0,0.0,0.0,0.08,0.07145808213949204,9.68586194794625e-05,False,False,False,False
58,7,-0.1714359602057383,72.39385986328125,0.0026612640334876133,0.03719891607761383,28.227224349975586,56,0.0,0.009817663791124566,0.0,0.0,0.0,0.08,0.07151769804954529,0.00010059836506843567,False,False,False,False
58,8,-0.17148387612605728,72.39385986328125,0.0008662838503222852,0.03718563914299011,28.19769188761711,56,0.0,0.009813125566516832,0.0,0.0,0.0,0.08,0.07157145756483077,9.929299470968545e-05,False,False,False,False
58,9,-0.17152940107429507,72.39385986328125,0.0011729861856603879,0.03717014193534851,28.169469013810158,56,0.0,0.00981011826721128,0.0,0.0,0.0,0.08,0.07161614269018172,0.00010314011690206824,False,False,False,False
58,10,-0.16601860353635417,72.38899993896484,2.0788927980015592,0.03726109117269516,28.138586059212685,56,0.00485992431640625,0.009117555054889788,0.0,0.0,0.0,0.08,0.07166086238622665,0.00010011041164398192,False,False,False,False
58,11,-0.15336782826186204,72.36925506591797,4.678983537078449,0.037517350167036057,27.782726995646954,56,0.019744873046875,0.008763229512433031,0.0,0.0,0.0,0.08,0.07337222117185592,0.000977250624448061,False,False,False,False
58,12,-0.06356699839351942,72.33808135986328,6.612817857612079,0.03779742866754532,27.386891953647137,56,0.0311737060546875,0.007926834316237467,0.0,0.0,0.0,0.0,0.07559797936677934,0.0012158907651901244,False,False,False,False
58,13,-0.05564648680203272,72.29837799072266,8.085627699252544,0.03807857632637024,27.094670981168747,56,0.039703369140625,0.007178870702168485,0.0,0.0,0.0,0.0,0.07727013164758681,0.000900853592902422,False,False,False,False
58,14,-0.04904396135619852,72.25154113769531,9.323821834874957,0.21363551914691925,26.85540821403265,56,0.04683685302734375,0.00665491491443488,0.0,0.0,0.0,0.0,0.07853617477416992,0.0006897246949374676,False,False,False,False
58,15,-0.04317718077740537,72.19824981689453,10.386524604328919,0.21352344751358032,26.636754535138607,56,0.05329132080078125,0.006263059626434927,0.0,0.0,0.0,0.0,0.07961460322141646,0.0005908387303352355,False,False,False,False
58,16,-0.03949831368257974,72.1402816772461,11.386500470925158,0.08960928022861481,26.49188842624426,56,0.0579681396484375,0.00630823256304238,0.0,0.0,0.0,0.0,0.08062319606542588,0.0005350247025489807,False,False,False,False
58,17,-0.04777613154268929,72.07669830322266,12.369692201434013,0.039402078837156296,26.338474787771702,56,0.0635833740234375,0.005548483514295243,0.0,0.013643008469825448,0.0,0.0,0.08158571475744247,0.0005822988245636224,False,False,False,False
58,18,-0.10699455324232954,72.00942993164062,13.25568336400797,0.0376015342772007,26.254594400525093,55,0.06726837158203125,0.0056548464253975165,0.0,0.07621510624814576,0.0,0.0,0.08191262882947922,0.00048034332133829597,False,False,False,False
58,19,-0.16379774884255835,71.93894958496094,14.107422379596207,0.03201492875814438,26.10481347888708,55,0.0704803466796875,0.004602074096039543,0.0,0.1363113701336438,0.0,0.0,0.08278629010915756,0.0005783611834049224,False,False,False,False
58,20,-0.21616841938981418,71.86463928222656,14.94584701700645,0.02709450013935566,26.026371605694294,55,0.074310302734375,0.004142885177934708,0.0,0.19255021214414186,0.0,0.0,0.08337264889478684,0.00041297590732574464,False,False,False,False
58,21,-0.17511217742671464,71.78673553466797,15.762693164308466,0.024674981832504272,33.55785325169563,56,0.07790374755859375,0.006387648995532062,0.0,0.14473775029111452,0.0,0.0,0.07113760828971863,0.020752917408943174,False,False,False,False
58,22,-0.19371159793515397,71.70455169677734,16.555754962538344,0.024845775216817856,30.36366954445839,56,0.082183837890625,0.005144572564967915,0.0,0.1839886963360364,0.0,0.0,0.07290042716264726,0.0038617397621273993,False,False,False,False
58,23,-0.2275297656989361,71.61670684814453,17.348002333295206,0.02505730278789997,30.842085778713226,56,0.0878448486328125,0.006201401455915021,0.0,0.2250170052044446,0.0,0.0,0.07346553653478621,0.0006906711366027594,False,False,False,False
58,24,-0.26648296117142506,71.52667999267578,18.139658220421655,0.02741142176091671,30.733554884791374,56,0.09002685546875,0.006606030419365768,0.0,0.26596158146787235,0.0,0.0,0.07358478170633316,0.0003574230466037989,False,False,False,False
58,25,-0.3022791995560713,71.43423461914062,18.906824041088644,0.030851496383547783,30.3918669372797,56,0.09244537353515625,0.004533820775671064,0.0,0.30450232624936646,0.0,0.0,0.074790513753891,0.0008979123122990131,False,False,False,False
58,26,-0.33335686313949203,71.34075164794922,19.060720103573146,0.03446538373827934,30.371627658605576,56,0.09348297119140625,0.004112276940679767,0.0,0.3372436821453626,0.0,0.0,0.07515100425481797,0.0003328709900379181,False,False,False,False
58,27,-0.36321449933171457,71.24766540527344,19.162988499428707,0.038037609308958054,30.287580639123917,56,0.09308624267578125,0.00397844434570906,0.0,0.366642886399513,0.0,0.0,0.07533870249986649,0.0003407087624073028,False,False,False,False
58,28,-0.40320191291521446,71.15270233154297,19.62366937762036,0.04040765017271042,30.229355916380882,56,0.09496307373046875,0.004905449570746773,0.0,0.4074748337261731,0.0,0.0,0.0754845130443573,0.0003001903044059872,False,False,False,False
58,29,-0.4380677128655556,71.05592346191406,20.55825854689226,0.04353594779968262,29.870475009083748,56,0.09677886962890625,0.004522057386610755,0.0,0.4440359413616712,0.0,0.0,0.07560545367002487,0.0006831300761550665,False,False,False,False
58,30,-0.4682678088680875,70.95716094970703,20.991202971155605,0.04720418155193329,29.629936516284943,56,0.09876251220703125,0.0033349722169951725,0.0,0.4763251602642591,0.0,0.0,0.07657239812612535,0.0007977904677391051,False,False,False,False
58,31,-0.4942459538667113,70.85757446289062,21.51765771671305,0.051380280405282974,29.32888336479664,56,0.09958648681640625,0.0031385848114496265,0.0,0.5029820740215832,0.0,0.0,0.0769545859694481,0.0007571958806365728,False,False,False,False
58,32,-0.6079494603227652,70.75668334960938,22.12475860386086,0.05584361031651497,29.250879362225533,55,0.10089111328125,0.0032325616940330542,0.0,0.617950087785011,0.0,0.0,0.07717354387044906,0.00048438025452196597,False,False,False,False
58,33,-0.6204630276368399,70.65475463867188,22.82480974466065,0.06127588450908661,29.844408631324768,55,0.1019287109375,0.0027347237189347226,0.0,0.6309513390057142,0.0,0.0,0.07799669641256333,0.0007089794371277095,False,False,False,False
58,34,-0.6505078500457921,70.55096435546875,23.537589766319496,0.06700333952903748,29.57533411681652,55,0.103790283203125,0.0024445234586014013,0.0,0.6628923714153822,0.0,0.0,0.07833987259864808,0.000621365776285529,False,False,False,False
58,35,-0.6775351940671698,70.44258117675781,24.298439281138553,0.07015646994113922,29.369946643710136,55,0.1083831787109375,0.005858478088526999,0.0,0.6907490074627454,0.0,0.0,0.0787323860526085,0.0005785011742264032,False,False,False,False
58,36,-0.6915453742292151,70.3321762084961,25.042714564868763,0.07320457696914673,29.539173245429993,55,0.11040496826171875,0.00473148873858354,0.0,0.7083987534039076,0.0,0.0,0.07804295605421066,0.00077714429423213,False,False,False,False
58,37,-0.7068462084981499,70.2220230102539,25.779750541644272,0.07849624752998352,28.87453258037567,55,0.1101531982421875,0.0015575931938830426,0.0,0.7243603050701672,0.0,0.0,0.07964134311676026,0.0014401653595268724,False,False,False,False
58,38,-0.8575496117827748,70.11264038085938,26.521049088461332,0.08627551048994064,28.515040799975395,54,0.10938262939453125,0.002937653877263886,0.025978006581251066,0.846872025727516,0.0,0.0,0.08018346852064133,0.0009610864706337452,False,False,False,False
58,39,-0.9789586206211829,70.00241088867188,27.244745065543224,0.09463544934988022,29.3317312002182,54,0.1102294921875,0.0022515114492860522,0.12445379718091498,0.8703985035412366,0.0,0.0,0.08108333724737168,0.0010009633898735047,False,False,False,False
58,40,-1.1115954468798053,69.8904800415039,27.964441587211294,0.10258381068706512,29.297692626714706,54,0.11193084716796875,0.0008190300315249991,0.23891653134452082,0.892531615494972,0.0,0.0,0.08076592081785203,0.0004931963589042425,False,False,False,False
58,41,-1.2139424479192276,69.77318572998047,28.663450576761846,0.10601648688316345,29.227109625935555,54,0.1172943115234375,0.007030568376051226,0.3285280385750535,0.9040668308727796,0.0,0.0,0.08107040417194365,0.0005409174468368292,False,False,False,False
58,42,-1.2940976718672068,69.65277862548828,29.394316704508704,0.1071605533361435,29.55852672457695,54,0.1204071044921875,0.004212054708496716,0.419157771449649,0.9004271805279309,0.0,0.0,0.07950412231683732,0.00120364735648036,False,False,False,False
58,43,-1.4942368911166886,69.53788757324219,29.94529120450844,0.1146518737077713,28.974399268627167,53,0.11489105224609375,0.014329688809234666,0.5112059925246095,0.9910536110394056,0.0,0.0,0.0811334392428398,0.0014052117466926573,False,False,False,False
58,44,-1.6037230620428533,69.42727661132812,30.086647538927078,0.12546995282173157,29.342333301901817,53,0.1106109619140625,0.01435328926161325,0.5824472692099925,1.0242106735699232,0.0,0.0,0.08254333537817002,0.0007794565372169017,False,False,False,False
58,45,-1.649479122870523,69.3175048828125,30.01065102802907,0.1346253752708435,30.22146686911583,53,0.109771728515625,0.0014032772449579685,0.6264369714307587,1.0386643230907973,0.0,0.0,0.08066685390472413,0.0020794257149100302,False,False,False,False
58,46,-1.680702626327001,69.20500183105469,29.881770484043557,0.1381506621837616,30.155009776353836,53,0.1125030517578125,0.007483099840616717,0.6525975608403503,1.0426666080944593,0.0,0.0,0.08010052037239075,0.00035788893699645997,False,False,False,False
58,47,-1.6821034093087595,69.09220123291016,29.74188807311022,0.13838009536266327,30.58840110898018,53,0.11280059814453125,0.0046354086297175495,0.6695502556259836,1.0312164127819592,0.0,0.0,0.07817299371957778,0.0013289366960525513,False,False,False,False
