episode,tag,env_module,env_class,model,success,crashed,timed_out,reward,goal_distance,final_phase,steps,completion_time_s,min_ttc,commit_step,commit_time_s,wait_time_before_commit_s,max_speed_kmh,mean_speed_kmh,max_accel_mps2,min_accel_mps2,mean_abs_accel_mps2,max_abs_jerk_mps3,p90_abs_jerk_mps3,mean_abs_jerk_mps3
0,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-142.69507133666664,15.415668487548828,CLEAR,128,6.4,nan,11,0.6000000000000001,0.6000000000000001,25.219261524382926,13.649160913601246,14.88809555587145,-81.11644336754878,4.278502612574608,1711.5241716018388,63.70456525238177,50.31522694647727
1,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-148.76728623576855,17.363506317138672,CLEAR,118,5.9,nan,12,0.65,0.65,25.5772170038555,13.513342833871913,14.899512376660896,-48.40530852446965,2.9956464850773967,1060.9741470025222,41.64659527217278,33.28235617068001
2,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,True,False,False,-117.56353706663171,4.573978900909424,DECISION,149,7.45,nan,11,0.6000000000000001,0.6000000000000001,32.74966608435742,17.27062097669077,14.974268984892074,-20.825130742610963,2.9874512125131245,447.63076201405823,55.087286581469286,32.47344406272804
3,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-142.64897773475656,17.43292808532715,CLEAR,115,5.75,nan,12,0.65,0.65,26.652789496276856,13.765194789379434,14.937268857404044,-83.4853976153327,3.498434505608607,1752.9767999139385,38.88851462104434,42.253061671294915
4,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-144.36848559419713,17.742143630981445,CLEAR,114,5.7,nan,11,0.6000000000000001,0.6000000000000001,23.072404997516678,13.640849430698601,15.008084403942965,-82.89355750611558,3.0130352815071637,1745.2899485845335,51.736074319449244,43.31509334689328
5,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-138.1084727053614,15.853240013122559,CLEAR,120,6.0,nan,11,0.6000000000000001,0.6000000000000001,23.2385103530263,14.282937344868678,14.923732054976046,-60.24981335670083,2.739821154472522,1192.7098854315852,53.042054085027395,37.41622384359563
6,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-141.02847091582407,15.337200164794922,CLEAR,123,6.15,nan,11,0.6000000000000001,0.6000000000000001,26.223637415409303,14.33846328202735,14.909575698913013,-78.89379203915134,3.66195688589117,1654.3355137983194,70.31842274298853,44.35327918755816
7,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-137.32808352820376,15.53283405303955,CLEAR,120,6.0,nan,11,0.6000000000000001,0.6000000000000001,25.739675942482894,14.640331806957839,14.921155740709073,-96.48508563465192,3.7942786957226917,1961.3617944146665,82.75934018097553,51.15439207873068
8,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-139.32532904351717,15.977775573730469,CLEAR,123,6.15,nan,12,0.65,0.65,26.22179849256362,14.006051560521117,14.994599453628503,-59.67239531586534,2.8504777106870125,1278.3723256262124,59.88356406965032,38.851410321798966
9,left_no_idle_30k_det,ppo_env_left_no_idle,CarlaPPOEnvTouchPhase,results/ppo/left_no_idle_30k/ppo_left_no_idle_30k.zip,False,True,False,-139.92599459156634,16.293725967407227,CLEAR,122,6.1000000000000005,nan,11,0.6000000000000001,0.6000000000000001,21.061014819373504,13.826592421321166,14.973794085512356,-76.41699229598511,2.7270590471524017,1514.2164944781439,69.91545834987377,41.18828355913858
