episode,tag,env_module,env_class,model,success,crashed,timed_out,reward,goal_distance,final_phase,steps,completion_time_s,min_ttc,commit_step,commit_time_s,wait_time_before_commit_s,max_speed_kmh,mean_speed_kmh,max_accel_mps2,min_accel_mps2,mean_abs_accel_mps2,max_abs_jerk_mps3,p90_abs_jerk_mps3,mean_abs_jerk_mps3
16,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-130.5481418064353,4.924062252044678,DECISION,201,10.05,nan,11,0.6000000000000001,0.6000000000000001,33.02793113836481,12.540073354327179,14.029389596429084,-22.645747139154786,3.087087224742127,541.015906694524,50.38553533768722,33.7535406899796
17,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-154.24105408006878,4.682419300079346,DECISION,225,11.25,nan,11,0.6000000000000001,0.6000000000000001,33.621345967511424,11.293117914108263,14.038571638474501,-23.95447863596658,2.9954577358735435,476.8041144486055,74.16216521694159,40.868607480553294
18,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-169.67471172260448,15.528904914855957,CLEAR,193,9.65,nan,11,0.6000000000000001,0.6000000000000001,25.8969259655168,8.956257169422022,14.022958698249774,-60.86134024717077,4.357287788152068,1306.5103914448828,228.17654069964442,61.72044090354791
19,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-170.54771787697342,17.91725730895996,CLEAR,194,9.700000000000001,nan,11,0.6000000000000001,0.6000000000000001,24.171852190454633,7.885827049893933,14.01256894900978,-38.88380384951604,3.906858025993132,763.7835363628047,234.82204854225486,64.10589024271802
20,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-150.86397581258743,4.8590898513793945,DECISION,219,10.950000000000001,nan,11,0.6000000000000001,0.6000000000000001,36.713278526538076,11.579860810103966,14.216087891797608,-26.747646485047767,3.1923888086180314,571.0722562753452,114.617991945561,47.691967588733384
21,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-168.04799204622446,15.353196144104004,CLEAR,184,9.200000000000001,nan,11,0.6000000000000001,0.6000000000000001,24.65760868914491,9.487809408413188,14.130605419017245,-72.47738202300104,3.375971382665094,1523.798106017911,128.4641401872074,55.943062969193804
22,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-152.8290119703708,4.755921363830566,DECISION,213,10.65,nan,11,0.6000000000000001,0.6000000000000001,33.89273432695153,11.920980688448214,14.048561005133312,-26.69338146548002,3.5650284101939445,560.595762887901,107.77400841617087,46.71321071245219
23,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-168.34072633093916,16.72974967956543,CLEAR,182,9.1,nan,11,0.6000000000000001,0.6000000000000001,26.89763639022285,8.909479415505865,14.014055615378641,-107.70941133480846,4.47679919111214,2081.360063915378,205.08730380046336,73.17019756426664
24,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-127.04610303524248,4.891986846923828,DECISION,215,10.75,nan,11,0.6000000000000001,0.6000000000000001,36.17310631788055,11.800900661850989,14.651652728612273,-26.129625819864533,3.6693247740835364,495.73323666235814,111.71449502920561,48.060510373967354
25,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-154.15317997269588,4.777674198150635,DECISION,218,10.9,nan,11,0.6000000000000001,0.6000000000000001,35.363417147164,11.639623216273833,14.549541590848296,-26.664528311971683,3.3934336169249737,566.4368958175421,110.38258303177754,51.06782755021486
