episode,scenario,reward,success,crashed,timed_out,stuck,steps,goal_distance,lane_offset_m,target_speed_kmh,failure_type,max_lane_offset,final_goal_distance,low_speed_ratio,high_traffic_ratio,notes
8,highway_merge,15.711439592669308,False,True,False,False,214,8.38287353515625,0.7700626254081726,44.80519384145737,terminal_oscillation_collision,1.982421636581421,8.38287353515625,0.14953271028037382,0.028037383177570093,max_lane_offset=1.982; final_goal_distance=8.383; low_speed_ratio=0.150; high_traffic_ratio=0.028
9,highway_merge,17.52960078198315,False,True,False,False,218,9.40392780303955,0.7051889300346375,45.0,terminal_oscillation_collision,1.73233163356781,9.40392780303955,0.14220183486238533,0.06422018348623854,max_lane_offset=1.732; final_goal_distance=9.404; low_speed_ratio=0.142; high_traffic_ratio=0.064
15,highway_merge,-47.42917200610829,False,True,False,False,139,57.17348098754883,0.48739346861839294,19.95213244110346,lane_departure_early_collision,1.9241852760314941,57.17348098754883,0.302158273381295,0.11510791366906475,max_lane_offset=1.924; final_goal_distance=57.173; low_speed_ratio=0.302; high_traffic_ratio=0.115
25,highway_merge,-36.691007354831264,False,True,False,False,138,51.48594284057617,1.2704169750213623,41.35643497109413,lane_departure_early_collision,2.551551103591919,51.48594284057617,0.1956521739130435,0.043478260869565216,max_lane_offset=2.552; final_goal_distance=51.486; low_speed_ratio=0.196; high_traffic_ratio=0.043
28,highway_merge,15.500207874675233,False,True,False,False,193,12.126456260681152,0.758557915687561,45.0,mixed_collision,1.7424027919769287,12.126456260681152,0.14507772020725387,0.06735751295336788,max_lane_offset=1.742; final_goal_distance=12.126; low_speed_ratio=0.145; high_traffic_ratio=0.067
45,highway_merge,6.260207462475471,False,True,False,False,245,13.364097595214844,0.7364705204963684,45.0,mixed_collision,2.1161201000213623,13.364097595214844,0.22040816326530613,0.036734693877551024,max_lane_offset=2.116; final_goal_distance=13.364; low_speed_ratio=0.220; high_traffic_ratio=0.037
49,highway_merge,-19.775757327303772,False,True,False,False,163,41.674949645996094,0.26094305515289307,45.0,lane_departure_early_collision,2.052513599395752,41.674949645996094,0.17177914110429449,0.03067484662576687,max_lane_offset=2.053; final_goal_distance=41.675; low_speed_ratio=0.172; high_traffic_ratio=0.031
50,highway_merge,-35.454904819768316,False,True,False,False,141,51.136322021484375,1.2052031755447388,45.0,lane_departure_early_collision,2.105207920074463,51.136322021484375,0.20567375886524822,0.04964539007092199,max_lane_offset=2.105; final_goal_distance=51.136; low_speed_ratio=0.206; high_traffic_ratio=0.050
54,highway_merge,13.490552429417463,False,True,False,False,262,6.89825439453125,0.7209253907203674,45.0,terminal_oscillation_collision,1.7192996740341187,6.89825439453125,0.2366412213740458,0.07251908396946564,max_lane_offset=1.719; final_goal_distance=6.898; low_speed_ratio=0.237; high_traffic_ratio=0.073
62,highway_merge,10.319976549140343,False,True,False,False,194,11.705622673034668,0.5394912362098694,45.0,terminal_oscillation_collision,2.2413408756256104,11.705622673034668,0.09278350515463918,0.041237113402061855,max_lane_offset=2.241; final_goal_distance=11.706; low_speed_ratio=0.093; high_traffic_ratio=0.041
65,highway_merge,17.83668731189384,False,True,False,False,217,9.451475143432617,0.5463264584541321,38.946735709905624,terminal_oscillation_collision,1.707733154296875,9.451475143432617,0.16129032258064516,0.04608294930875576,max_lane_offset=1.708; final_goal_distance=9.451; low_speed_ratio=0.161; high_traffic_ratio=0.046
72,highway_merge,7.293557237325736,False,True,False,False,201,17.5159854888916,0.5938449501991272,45.0,mixed_collision,1.6763896942138672,17.5159854888916,0.17412935323383086,0.03482587064676617,max_lane_offset=1.676; final_goal_distance=17.516; low_speed_ratio=0.174; high_traffic_ratio=0.035
95,highway_merge,11.921511129118535,False,True,False,False,208,13.349223136901855,0.6375171542167664,43.251831382513046,mixed_collision,1.7313553094863892,13.349223136901855,0.15865384615384615,0.052884615384615384,max_lane_offset=1.731; final_goal_distance=13.349; low_speed_ratio=0.159; high_traffic_ratio=0.053
96,highway_merge,13.570301481039209,False,True,False,False,200,9.052459716796875,0.5093697309494019,45.0,terminal_oscillation_collision,1.6777327060699463,9.052459716796875,0.14,0.1,max_lane_offset=1.678; final_goal_distance=9.052; low_speed_ratio=0.140; high_traffic_ratio=0.100
