episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,path_valid,justified_waiting,success,crashed,timed_out,stuck
65,0,-0.20171843293916414,72.39385223388672,0.005960743042973407,0.03763100504875183,30.925327464938164,56,0.0,0.011652536454577197,0.0,0.0,0.0,0.0,0.0,0.08,0.07467948991060257,0.025386406573984353,0.0,inf,inf,True,False,False,False,False,False
65,1,-0.17707633237242246,72.39385223388672,0.003098728707667793,0.03762581944465637,29.197806492447853,56,0.0,0.01036408715117268,0.0,0.0,0.0,0.0,0.0,0.08,0.07536117660999299,0.0013510686112567782,0.0,inf,inf,True,False,False,False,False,False
65,2,-0.1762148486790041,72.39385223388672,0.0061725299493191515,0.03755021095275879,29.440150782465935,56,0.0,0.01043199314314671,0.0,0.0,0.0,0.0,0.0,0.08,0.07545863658189775,0.00032421895395964384,0.0,inf,inf,True,False,False,False,False,False
65,3,-0.17600777453568864,72.39385223388672,0.0065346654568102305,0.03745739161968231,29.389484524726868,56,0.0,0.01043515560415672,0.0,0.0,0.0,0.0,0.0,0.08,0.075417810857296,0.00015480807423591612,0.0,inf,inf,True,False,False,False,False,False
65,4,-0.17592643033560565,72.39385223388672,0.005770021503410985,0.037370651960372925,29.382469207048416,56,0.0,0.010418530785350256,0.0,0.0,0.0,0.0,0.0,0.08,0.07538528609275819,0.0001226134574972093,0.0,inf,inf,True,False,False,False,False,False
65,5,-0.1759748886629902,72.39385986328125,0.004664471291053069,0.03729832172393799,29.346807897090912,56,-7.62939453125e-06,0.010439404734127208,0.0,0.0,0.0,0.0,0.0,0.08,0.07537636822462082,0.00015148630971089006,0.0,inf,inf,True,False,False,False,False,False
65,6,-0.17593835599807983,72.39385986328125,0.0035864461039557902,0.03724159300327301,29.316547214984894,56,0.0,0.010424066559355289,0.0,0.0,0.0,0.0,0.0,0.08,0.07536539071798325,0.00014889872074127196,0.0,29.279476165771484,577.6066847800246,True,False,False,False,False,False
65,7,-0.1758167758428679,72.39385986328125,0.002659881524477845,0.03719887137413025,29.315607100725174,56,0.0,0.010417905404530553,0.0,0.0,0.0,0.0,0.0,0.08,0.07529751580953599,0.00010135462880134582,0.0,29.27694320678711,569.2001349166704,True,False,False,False,False,False
65,8,-0.17570816479792759,72.39385986328125,0.0008674513474371605,0.03718563914299011,29.333148077130318,56,0.0,0.010424926566955935,0.0,0.0,0.0,0.0,0.0,0.08,0.07519014930725099,9.308892372064292e-05,0.0,29.274303436279297,558.9190497582176,True,False,False,False,False,False
65,9,-0.17565729445101855,72.39385986328125,0.0011777349513370453,0.03717006742954254,29.327252581715584,56,0.0,0.010440905925111585,0.0,0.0,0.0,0.0,0.0,0.08,0.07511249113082885,0.00010389739507809281,0.0,29.271678924560547,551.0095080801992,True,False,False,False,False,False
65,10,-0.16998948256042265,72.38900756835938,2.079396307484177,0.03726096823811531,29.333933293819427,56,0.004852294921875,0.009737531013781537,0.0,0.0,0.0,0.0,0.0,0.08,0.07500905948877336,9.518697974272073e-05,0.0,29.257003784179688,46.13896799334044,True,False,False,False,False,False
65,11,-0.156993875545642,72.36945343017578,4.656660762038169,0.03752201795578003,29.045163989067078,56,0.01955413818359375,0.009379947067430835,0.0,0.0,0.0,0.0,0.0,0.08,0.07641264098882676,0.0007554256729781627,0.0,29.20339012145996,21.60716497360005,True,False,False,False,False,False
65,12,-0.0671199617424705,72.33879852294922,6.458695046127346,0.03781391680240631,28.743070140480995,56,0.0306549072265625,0.008571518585244646,0.0,0.0,0.0,0.0,0.0,0.0,0.07823006713390351,0.0009732832498848439,0.0,29.120569229125977,15.61661688417088,True,False,False,False,False,False
65,13,-0.058700246010108245,72.29950714111328,7.97857730050847,0.038136549293994904,28.565027117729187,56,0.0392913818359375,0.007916992299391279,0.0,0.0,0.0,0.0,0.0,0.0,0.07944878435134888,0.0006258511953055859,0.0,29.0136775970459,12.604598892174144,True,False,False,False,False,False
65,14,-1.0835555411574942,72.25360870361328,9.212480196627622,0.2136021852493286,28.429706320166588,56,0.0458984375,0.007297729089269158,0.0,0.0313410159297149,0.0,0.0,0.0,0.0,0.08034492945671082,0.00047030418179929253,-1.0,28.887447357177734,10.8567796755208,True,False,False,False,False,False
65,15,-1.1567356669862974,72.20195770263672,10.285046732039447,0.213485985994339,28.309983909130096,56,0.0516510009765625,0.006836182724068166,0.0,0.1100728388972442,0.0,0.0,0.0,0.0,0.08107511013746262,0.000402536204084754,-1.0,28.743682861328125,9.652006170059646,True,False,False,False,False,False
65,16,-1.2305904016709635,72.14513397216797,11.334995340496734,0.09503071755170822,28.21818932890892,56,0.05682373046875,0.00641122915101037,0.0,0.18896535598708797,0.0,0.0,0.0,0.0,0.0816785397529602,0.0003590072486549616,-1.0,28.583454132080078,8.702719998885009,True,False,False,False,False,False
65,17,-1.2985674397898068,72.08350372314453,12.32648918070239,0.04089342802762985,28.12183130532503,56,0.0616302490234375,0.006018491605792303,0.0,0.2615699168391387,0.0,0.0,0.0,0.0,0.0822570988535881,0.0003521815147250891,-1.0,28.40719985961914,7.932291756126652,True,False,False,False,False,False
65,18,-1.3590156636490254,72.01763916015625,13.25263504863756,0.040343452244997025,28.0444710329175,56,0.06586456298828125,0.005661582738803569,0.0,0.3261018153376739,0.0,0.0,0.0,0.0,0.08277694725990295,0.0003398813009262085,-1.0,28.216327667236328,7.312593162332747,True,False,False,False,False,False
65,19,-1.4093602480520961,71.94664764404297,14.100930919409908,0.0353379026055336,27.972245514392853,56,0.07099151611328125,0.006495142577369638,0.0,0.38030322753860163,0.0,0.0,0.0,0.0,0.08323659127950668,0.00031680276989936825,-1.0,28.019216537475586,6.845827277078159,True,False,False,False,False,False
65,20,0.046368872160045545,71.87007141113281,14.759296127600503,0.029235336929559708,27.877095490694046,56,0.07657623291015625,0.01581699193610316,0.0,0.4210121508784454,0.0,0.0,0.0,0.0,0.08301391559839248,0.0003643023371696472,0.5,inf,inf,False,True,False,False,False,False
65,21,0.02306721446336802,71.78985595703125,14.891571644361505,0.022360658273100853,27.854507602751255,56,0.0802154541015625,0.016922847982606726,0.0,0.4470300074763458,0.0,0.0,0.0,0.0,0.08295190829038619,0.00024347588885575532,0.5,inf,inf,False,True,False,False,False,False
65,22,0.016242337537134506,71.70783233642578,14.6458813311483,0.014396807178854942,27.90762171149254,56,0.08202362060546875,0.017772449337382267,0.0,0.45525516235305474,0.0,0.0,0.0,0.0,0.08236671334505082,0.00038695803284645073,0.5,inf,inf,False,True,False,False,False,False
65,23,-0.12563244608996582,71.62461853027344,14.255706428076186,0.004624979104846716,27.7985530346632,56,0.08321380615234375,0.018616151368093043,0.0,0.5982388850398224,0.0,0.0,0.0,0.0,0.08165268152952194,0.00033853430487215517,0.5,inf,inf,False,True,False,False,False,False
65,24,0.05476303937078603,71.54141235351562,13.758043134091672,0.007891746237874031,27.73547049611807,56,0.0832061767578125,0.019511012096743323,0.0,0.41773723327590634,0.0,0.0,0.0,0.0,0.08088894623517989,0.000305945779196918,0.5,inf,inf,False,True,False,False,False,False
65,25,0.08886215396571846,71.45775604248047,13.247674048238947,0.023561999201774597,27.91337337344885,56,0.08365631103515625,0.02049043522020381,0.0,0.38372682296706845,0.0,0.0,0.0,0.0,0.08000039404630661,0.0005765048358589411,0.5,inf,inf,False,True,False,False,False,False
65,26,0.1394296548798546,71.3745346069336,12.674918540112984,0.042365480214357376,27.858918830752373,56,0.083221435546875,0.021413202983540693,0.0,0.3329046603388946,0.0,0.0,0.0,0.0,0.07895630741119386,0.0005176099333912133,0.5,inf,inf,False,True,False,False,False,False
65,27,-0.0013179220087341983,71.29169464111328,12.140918855100372,0.06433643400669098,27.843317091464996,56,0.0828399658203125,0.022098307200859157,0.0,0.4736829158015411,0.0,0.0,0.0,0.0,0.07780721521377564,0.0005694496128708123,0.5,inf,inf,False,True,False,False,False,False
65,28,0.059227328686719045,71.21043395996094,11.585288138437395,0.0880282074213028,27.787852697074413,56,0.08126068115234375,0.021400854942285975,0.0,0.4133663531489532,0.0,0.0,0.0,0.0,0.0766950542330742,0.0005710901413112879,0.5,inf,inf,False,True,False,False,False,False
65,29,0.1339478106819632,71.1311264038086,11.068220388637014,0.11284951865673065,27.666681222617626,56,0.07930755615234375,0.021532820367400504,0.0,0.33750747405959775,0.0,0.0,0.0,0.0,0.07588967794179917,0.00042977310158312315,0.5,inf,inf,False,True,False,False,False,False
65,30,-0.30103062383396023,71.05192565917969,10.641003568798654,0.14075595140457153,27.55977038294077,56,0.07920074462890625,0.04663958798437305,0.0,0.24806398117019343,0.0,0.0,0.0,0.0,0.07511341881752014,0.0004143804907798767,0.0,inf,inf,True,False,False,False,False,False
65,31,-0.162276522293477,70.96768951416016,10.477877303800932,0.1766475886106491,28.076014146208763,56,0.08423614501953125,0.027866044898880206,0.0,0.13739675247146296,0.0,0.0,0.0,0.0,0.06588465714454651,0.0053652127981185915,0.0,inf,inf,True,False,False,False,False,False
65,32,-0.04224305499825059,70.87625122070312,10.584173276735228,0.22191253304481506,27.512439787387848,56,0.09143829345703125,0.02464275645722519,0.0,0.03088782989455865,0.0,0.0,0.0,0.0,0.06663895732164384,0.0015118047818541529,0.0,inf,inf,True,False,False,False,False,False
65,33,-0.00208439508465459,70.77877044677734,11.148818492515991,0.2721704840660095,27.300434298813343,56,0.09748077392578125,0.021383871875827805,0.0,0.0,0.0,0.0,0.0,0.0,0.0671650004386902,0.0010162966959178447,0.0,inf,inf,True,False,False,False,False,False
65,34,0.004362013700625111,70.67708587646484,11.864146960588727,0.3233611285686493,26.764063574373722,56,0.1016845703125,0.017966638990470952,0.0,0.0,0.0,0.0,0.0,0.0,0.06816778582334519,0.0011881317980587482,0.0,inf,inf,True,False,False,False,False,False
65,35,0.010041871098485177,70.57193756103516,12.68743542300641,0.37383607029914856,26.227901056408882,56,0.1051483154296875,0.014513488991502326,0.0,0.0,0.0,0.0,0.0,0.0,0.06939243894815446,0.001200516391545534,0.0,inf,inf,True,False,False,False,False,False
65,36,-0.03086487236985276,70.46465301513672,13.534421011992986,0.42193129658699036,24.37477072700858,56,0.1072845458984375,0.010613450009313328,0.0,0.0,0.0,0.0,0.0,0.0,0.09610785776376725,0.02142811049520969,0.0,inf,inf,True,False,False,False,False,False
65,37,-0.007521658174728471,70.35704040527344,14.359763167693869,0.4657086730003357,25.863385498523712,55,0.10761260986328125,0.007834540836547924,0.0,0.0,0.0,0.0,0.0,0.0,0.09324005085229874,0.004059676349163055,0.0,inf,inf,True,False,False,False,False,False
65,38,-0.011049927692633396,70.25050354003906,15.144334238703497,0.5040998458862305,25.304953437298536,55,0.106536865234375,0.010386873170506482,0.0,0.0,0.0,0.0,0.0,0.0,0.09581318426132202,0.0013867354951798915,0.0,inf,inf,True,False,False,False,False,False
65,39,-0.019717518516457623,70.14807891845703,15.874094857047341,0.5342820286750793,24.947730135172606,55,0.10242462158203125,0.013024545241720035,0.0,0.0,0.0,0.0,0.0,0.0,0.09795959520339965,0.0011579996533691884,0.0,inf,inf,True,False,False,False,False,False
65,40,-0.0316265154892905,70.05265045166016,16.55223013022437,0.5537217855453491,24.664459694176912,55,0.095428466796875,0.01570407723657325,0.0,0.0,0.0,0.0,0.0,0.0,0.1001929395198822,0.0011579655297100542,0.0,inf,inf,True,False,False,False,False,False
65,41,-0.03717230363446784,69.9642562866211,17.299581352373615,0.562678873538971,24.496639408171177,55,0.0883941650390625,0.011914602271053308,0.0,0.0,0.0,0.0,0.0,0.0,0.10251684564352036,0.0011350207589566708,0.0,inf,inf,True,False,False,False,False,False
65,42,-0.05919353547854083,69.87528991699219,18.154418478523027,0.5688281059265137,19.934251829981804,55,0.08896636962890625,0.010765401543804563,0.0,0.0,0.0,0.0,0.0,0.0,0.10479133361577989,0.022603169947862625,0.0,inf,inf,True,False,False,False,False,False
65,43,-0.03924103398897194,69.78680419921875,18.894662244343934,0.5713008046150208,22.339910971932113,55,0.0884857177734375,0.010495617232252598,0.0,0.0,0.0,0.0,0.0,0.0,0.10219018387794494,0.005040950652211904,0.0,inf,inf,True,False,False,False,False,False
65,44,-0.03769957717874035,69.70076751708984,19.040909495401785,0.5701565146446228,21.62380713969469,55,0.08603668212890625,0.008960787985408173,0.0,0.0,0.0,0.0,0.0,0.0,0.10367073124647139,0.0011047400757670403,0.0,inf,inf,True,False,False,False,False,False
65,45,-0.03823573522603933,69.61711883544922,19.172089510815606,0.5669524073600769,21.77999535575509,55,0.083648681640625,0.007255175355438634,0.0,0.0,0.0,0.0,0.0,0.0,0.10410478299856185,0.0005244585126638413,0.0,inf,inf,True,False,False,False,False,False
65,46,-0.03904841460603315,69.53347778320312,19.541383910765106,0.5632291436195374,21.75669265910983,54,0.08364105224609375,0.007555749831153335,0.0,0.0,0.0,0.0,0.0,0.0,0.10477017939090728,0.00036353763006627556,0.0,inf,inf,True,False,False,False,False,False
65,47,-0.042863213671050844,69.4511489868164,19.97793390418627,0.5572018027305603,22.362082949839532,54,0.08232879638671875,0.008846148570679002,0.0,0.0,0.0,0.0,0.0,0.0,0.10490724134445191,0.0014386201426386832,0.0,inf,inf,True,False,False,False,False,False
65,48,-0.04403809037533926,69.37217712402344,20.568113347253902,0.5463067889213562,22.056705155409873,54,0.07897186279296875,0.00615947999162005,0.0,0.0,0.0,0.0,0.0,0.0,0.10617846095561982,0.0006720122210681438,0.0,inf,inf,True,False,False,False,False,False
65,49,-0.04437036755135532,69.29473876953125,21.23173749127613,0.5319937467575073,22.06862221006304,54,0.0774383544921875,0.004882254514976088,0.0,0.0,0.0,0.0,0.0,0.0,0.1064849147796631,0.00044155274890363215,0.0,inf,inf,True,False,False,False,False,False
65,50,-0.04315558952789007,69.21509552001953,22.082840291239297,0.517650306224823,22.003516196273267,54,0.07964324951171875,0.005319980233415953,0.0,0.0,0.0,0.0,0.0,0.0,0.10698697853088378,0.0004918802753090858,0.0,inf,inf,True,False,False,False,False,False
65,51,-0.05073598524056934,69.13448333740234,22.749239002931212,0.5022081136703491,22.44701677467674,54,0.0806121826171875,0.0053926680505956524,0.008074252901387302,0.0,0.0,0.0,0.0,0.0,0.10645641767978668,0.0014248292259871958,0.0,inf,inf,True,False,False,False,False,False
65,52,-0.1702500022553604,69.05682373046875,23.122119196474518,0.48295122385025024,22.360570686869323,54,0.07765960693359375,0.010218163978857287,0.11966836731050673,0.0,0.0,0.0,0.0,0.0,0.1074420086145401,0.0005810692850500345,0.0,inf,inf,True,False,False,False,False,False
65,53,-0.2718819258423908,68.98229217529297,23.02441874747713,0.4615888297557831,22.381038875319064,53,0.07453155517578125,0.012804414542222982,0.21573680507375187,0.0,0.0,0.0,0.0,0.0,0.10754589223861695,0.0003263691635802388,0.0,inf,inf,True,False,False,False,False,False
65,54,-0.34347099924964203,68.91185760498047,22.8135378899092,0.43827342987060547,22.756893052719533,53,0.0704345703125,0.007374489285922365,0.2881739757531122,0.0,0.0,0.0,0.0,0.0,0.10764603567123414,0.0007110688518732787,0.0,inf,inf,True,False,False,False,False,False
65,55,-0.4137546992202523,68.84496307373047,22.561345482947388,0.41370677947998047,22.814785349182785,53,0.06689453125,0.002088691947437174,0.3607500504030937,0.0,0.0,0.0,0.0,0.0,0.10752954924106597,0.0002809388786554337,0.0,inf,inf,True,False,False,False,False,False
65,56,-0.4524292764910849,68.77852630615234,22.279623233258782,0.39113909006118774,22.910344577394426,53,0.066436767578125,0.005236120859312496,0.39584983602084695,0.0,0.0,0.0,0.0,0.0,0.10756727254390716,0.00021281464514322576,0.0,inf,inf,True,False,False,False,False,False
65,57,-0.48494041207046523,68.71296691894531,22.052541478274847,0.3700515031814575,23.82275316864252,53,0.06555938720703125,0.003602567411115241,0.42895284096222286,0.0,0.0,0.0,0.0,0.0,0.10579656851291655,0.0021478223912417887,0.0,inf,inf,True,False,False,False,False,False
65,58,-0.5189446754283762,68.65032958984375,21.987551009013824,0.3478499948978424,23.59508542343974,53,0.0626373291015625,0.0013372602761687264,0.46323773691752607,0.0,0.0,0.0,0.0,0.0,0.10642930638790131,0.000577700948342681,0.0,inf,inf,True,False,False,False,False,False
65,59,-0.5977860493679431,68.59211730957031,22.080466099441225,0.32236772775650024,24.026612285524607,52,0.0582122802734375,0.008063879694670381,0.5312830579841671,0.0,0.0,0.0,0.0,0.0,0.10572844278812407,0.0009229491744190455,0.0,inf,inf,True,False,False,False,False,False
65,60,-0.6743753425363125,68.53739166259766,22.377274024431667,0.29384905099868774,23.63774126395583,52,0.05472564697265625,0.0048211334809843825,0.6062634093891319,0.0,0.0,0.0,0.0,0.0,0.1069951263666153,0.0010213202722370624,0.0,inf,inf,True,False,False,False,False,False
65,61,-0.766883289411775,68.48217010498047,22.804532733240336,0.26583385467529297,23.947055283933878,52,0.0552215576171875,0.0013192280281157593,0.7038642918383127,0.0,0.0,0.0,0.0,0.0,0.10572073781490327,0.001200589347630739,0.0,inf,inf,True,False,False,False,False,False
65,62,-0.8671564074733289,68.42777252197266,23.341679805831177,0.2365826666355133,23.862138893455267,52,0.0543975830078125,0.0008752856993622042,0.8046987779320638,0.0,0.0,0.0,0.0,0.0,0.10568704044818877,0.00029288640152662994,0.0,inf,inf,True,False,False,False,False,False
65,63,-0.9481530957823768,68.36907196044922,23.91889843047853,0.2111768126487732,24.594242312014103,52,0.0587005615234375,0.006675621448453281,0.8847969597151693,0.0,0.0,0.0,0.0,0.0,0.10293763244152068,0.002443443700671196,0.0,inf,inf,True,False,False,False,False,False
65,64,-0.9990231334642292,68.30717468261719,24.54373098078636,0.1884109377861023,24.51370395720005,52,0.06189727783203125,0.0029099398947863703,0.9456585227937611,0.0,0.0,0.0,0.0,0.0,0.10154735243320466,0.0008045961745083331,0.0,inf,inf,True,False,False,False,False,False
65,65,-1.085244762101861,68.24857330322266,25.05542415588164,0.16199854016304016,24.61341105401516,51,0.05860137939453125,0.006045102860229093,1.0270649895614836,0.0,0.0,0.0,0.0,0.0,0.09968440282344818,0.0010516462512314322,0.0,inf,inf,True,False,False,False,False,False
65,66,-1.166487254778965,68.19176483154297,25.222375854411446,0.13442732393741608,22.05020239111036,51,0.0568084716796875,0.0161596257489576,1.0832171649898175,0.0,0.0,0.0,0.0,0.0,0.10719006216526031,0.006728873554617166,0.0,inf,inf,True,False,False,False,False,False
65,67,-1.1954787006195733,68.13587951660156,25.03805412400404,0.10789504647254944,24.481668658554554,51,0.05588531494140625,0.012425899761579566,1.1214959450266984,0.0,0.0,0.0,0.0,0.0,0.10163070154190064,0.005811469230800868,0.0,inf,inf,True,False,False,False,False,False
65,68,-1.2087129686533398,68.0825424194336,24.673647674599096,0.0815177634358406,24.291794411838055,51,0.05333709716796875,0.011427400341523623,1.1425042637139615,0.0,0.0,0.0,0.0,0.0,0.09479672783613206,0.0033216739296913146,0.0,inf,inf,True,False,False,False,False,False
65,69,-1.2078513878024395,68.027587890625,24.160355680165797,0.05993499234318733,24.079584404826164,51,0.05495452880859375,0.017395350826441613,1.1404822891516793,0.0,0.0,0.0,0.0,0.0,0.09454683238267898,0.00038144425023347136,0.0,inf,inf,True,False,False,False,False,False
65,70,-1.15192204563564,67.96955108642578,23.667880745855957,0.04473346844315529,24.40165216103196,51,0.05803680419921875,0.003726701195578446,1.1025023953499087,0.0,0.0,0.0,0.0,0.0,0.09258110302686691,0.001148650262504816,0.0,inf,inf,True,False,False,False,False,False
65,71,-1.0868970962738178,67.90621948242188,23.268122505051643,0.03783028945326805,24.244135748595,51,0.06333160400390625,0.010352714310204736,1.0408377117911007,0.0,0.0,0.0,0.0,0.0,0.08623568272590637,0.0028025914505124087,0.0,inf,inf,True,False,False,False,False,False
65,72,-1.0054639416048499,67.83961486816406,23.08741058831673,0.03661186248064041,24.358600694686174,49,0.0666046142578125,0.0074511065531099475,0.9695297232641525,0.0,0.0,0.0,0.0,0.0,0.08432069158554077,0.0007670344598591329,0.0,inf,inf,True,False,False,False,False,False
65,73,-1.0204890260105584,67.7761001586914,23.030793692514965,0.033914484083652496,22.858713646419346,49,0.06351470947265625,0.008795796976795332,0.9532965724646695,0.0,0.0,0.0,0.0,0.0,0.10205278301239014,0.00985858302935958,0.0,inf,inf,True,False,False,False,False,False
65,74,-0.9985121509983907,67.71401977539062,22.96950065349714,0.031461454927921295,23.46329340711236,49,0.06208038330078125,0.00719197396016518,0.9405723374970512,0.0,0.0,0.0,0.0,0.0,0.10217500960826872,0.0006532132336869835,0.0,inf,inf,True,False,False,False,False,False
65,75,-0.9797671959020489,67.64904022216797,23.01296786407153,0.03344292938709259,24.995466247200966,49,0.06497955322265625,0.0039920510072194194,0.9317792085159928,0.0,0.0,0.0,0.0,0.0,0.09272682505846024,0.006248664543032646,0.0,inf,inf,True,False,False,False,False,False
