episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
66,0,-0.21401851711355446,72.39385223388672,0.005954393015411529,0.03763103485107422,26.213758438825607,56,0.0,0.010758615974083176,0.0,0.0,0.0,0.0,0.0,0.08,0.08082922577857972,0.03243067536089155,0.0,inf,inf,True,False,0,False,False,False,False
66,1,-0.18359890469235007,72.39385223388672,0.0031021290474952798,0.03762589395046234,27.30928424745798,56,0.0,0.011309261792121536,0.0,0.0,0.0,0.0,0.0,0.08,0.07819333428144455,0.004096308618783951,0.0,inf,inf,True,False,0,False,False,False,False
66,2,-0.17964600138695158,72.39385223388672,0.006173013154760147,0.03755035996437073,26.81904148310423,56,0.0,0.010526731901366148,0.0,0.0,0.0,0.0,0.0,0.08,0.0786044421195984,0.0005148273659870029,0.0,inf,inf,True,False,0,False,False,False,False
66,3,-0.17893451087864423,72.39385223388672,0.006528937118332741,0.03745758533477783,26.803867891430855,56,0.0,0.010142467098667528,0.0,0.0,0.0,0.0,0.0,0.08,0.07860611832141877,0.00018592545855790376,0.0,inf,inf,True,False,0,False,False,False,False
66,4,-0.17896486218952512,72.39385223388672,0.0057686512656703265,0.03737080097198486,26.677930802106857,56,0.0,0.009984643719428523,0.0,0.0,0.0,0.0,0.0,0.08,0.07877040976285934,0.00020980870723724364,0.0,inf,inf,True,False,0,False,False,False,False
66,5,-0.17908440905553427,72.39385986328125,0.004672304024542044,0.037298545241355896,26.5681654214859,56,-7.62939453125e-06,0.009984578189674269,0.0,0.0,0.0,0.0,0.0,0.08,0.07891275000572204,0.00017945146560668945,0.0,inf,inf,True,False,0,False,False,False,False
66,6,-0.17918545088011828,72.39385986328125,0.0035910202731612236,0.03724174201488495,26.463981047272682,56,0.0,0.0099384882708831,0.0,0.0,0.0,0.0,0.0,0.08,0.0790534690618515,0.00019349354738369584,0.0,inf,inf,True,False,0,False,False,False,False
66,7,-0.19847418956108057,72.39385986328125,0.0026613220486803256,0.03719902038574219,31.400119364261627,56,0.0,0.012128627326559647,0.0,0.0,0.0,0.0,0.0,0.08,0.07939472943544389,0.016950832799077033,0.0,inf,inf,True,False,0,False,False,False,False
66,8,-0.18485040700789862,72.39385986328125,0.0008726740159431096,0.03718574345111847,28.816317915916443,56,0.0,0.010905792180265722,0.0,0.0,0.0,0.0,0.0,0.08,0.08047613888978958,0.0034684759378433225,0.0,29.279476165771484,577.6737610274644,True,False,0,False,False,False,False
66,9,-0.18238305574563213,72.39385986328125,0.0011708205322727978,0.03717014193534851,29.16217803955078,56,0.0,0.0108305641701526,0.0,0.0,0.0,0.0,0.0,0.08,0.08106526213884355,0.0004872294366359711,0.0,29.276941299438477,569.2714266270423,True,False,0,False,False,False,False
66,10,-0.17638637143910432,72.38903045654297,2.0795266537032333,0.03726126253604889,29.051736742258072,56,0.00482940673828125,0.009815441760481668,0.0,0.0,0.0,0.0,0.0,0.08,0.0812286975979805,0.00017163881892338397,0.0,29.26258659362793,46.253883832212345,True,False,0,False,False,False,False
