episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,lane_penalty,idle_penalty,action_delta_penalty,success,crashed,timed_out,stuck
10,0,-0.13856985660960053,72.39385223388672,0.005956203149528331,0.03763110935688019,30.55791176855564,56,0.0,0.012900531582399616,0.0,0.0,0.08,0.03566932502720091,False,False,False,False
10,1,-0.10234961578584323,72.39385223388672,0.0031009868052846584,0.0376259982585907,28.98929961025715,56,0.0,0.010852271163454741,0.0,0.0,0.08,0.0014973446223884822,False,False,False,False
10,2,-0.10149281180381212,72.39385223388672,0.006178767101980535,0.03755035996437073,29.203781113028526,56,0.0,0.011111745064252939,0.0,0.0,0.08,0.00038106673955917356,False,False,False,False
10,3,-0.10110276093263308,72.39385223388672,0.0065316057539091,0.03745754063129425,29.136664867401123,56,0.0,0.010923884592243827,0.0,0.0,0.08,0.0001788763403892517,False,False,False,False
10,4,-0.10111517257743106,72.39385223388672,0.005762704092197664,0.03737075626850128,29.116605296730995,56,0.0,0.010943085446828624,0.0,0.0,0.08,0.00017208713060244918,False,False,False,False
10,5,-0.10112087314988032,72.39385986328125,0.0046711286759427975,0.037298545241355896,29.08145695924759,56,-7.62939453125e-06,0.010938563698832988,0.0,0.0,0.08,0.0001746800565160811,False,False,False,False
10,6,-0.1011319240369993,72.39385986328125,0.0035879948630580987,0.03724171221256256,29.04238522052765,56,0.0,0.010947389608823766,0.0,0.0,0.08,0.00018453442817553879,False,False,False,False
10,7,-0.10114500001555789,72.39385986328125,0.0026604309161543183,0.03719902038574219,28.990195468068123,56,0.0,0.010946061941501828,0.0,0.0,0.08,0.00019893807405605912,False,False,False,False
10,8,-0.10107177429359793,72.39385986328125,0.0008706243034062135,0.03718578815460205,28.98513615131378,56,0.0,0.010928478232979912,0.0,0.0,0.08,0.00014329606061801314,False,False,False,False
10,9,-0.101043434485143,72.39385986328125,0.0011735508163852788,0.03717021644115448,28.99295412003994,56,0.0,0.01091524277795288,0.0,0.0,0.08,0.00012819170719012617,False,False,False,False
10,10,-0.09568238856612843,72.3891372680664,2.0790498787402605,0.0372619591653347,28.98009493947029,56,0.00472259521484375,0.010265479407898601,0.0,0.0,0.08,0.00013950437307357787,False,False,False,False
10,11,-0.08185678572848816,72.3698501586914,4.815963677454617,0.037551626563072205,28.684516176581383,56,0.019287109375,0.010103287192884872,0.0,0.0,0.08,0.0010406079106032847,False,False,False,False
10,12,0.00955724895146032,72.3395767211914,6.576984290675518,0.03798479959368706,28.295764848589897,56,0.0302734375,0.009115692293678325,0.0,0.0,0.0,0.0016004962548613548,False,False,False,False
10,13,0.018051329629227578,72.30171966552734,8.012464669659918,0.038694560527801514,27.916456907987595,56,0.0378570556640625,0.008404819732800063,0.0,0.0,0.0,0.0014009063020348547,False,False,False,False
10,14,0.02539338299786266,72.25752258300781,9.205278702980747,0.21359793841838837,27.713356353342533,56,0.04419708251953125,0.007871286550857465,0.0,0.0,0.0,0.0009324129708111285,False,False,False,False
10,15,0.032774144001536706,72.20618438720703,10.297246956961294,0.21354058384895325,27.53613542765379,56,0.05133819580078125,0.007782394859708203,0.0,0.0,0.0,0.0007816569395363331,False,False,False,False
10,16,0.03603312071617857,72.15048217773438,11.330864897561531,0.09380671381950378,27.755622267723083,56,0.05570220947265625,0.008864478455668534,0.0,0.0,0.0,0.0008046103008091448,False,False,False,False
10,17,0.041808899682819346,72.09080505371094,12.334404914258437,0.04507651925086975,27.410504445433617,56,0.0596771240234375,0.006690211075485244,0.0,0.0,0.0,0.001178013265132904,False,False,False,False
10,18,0.047016867586884496,72.0234375,13.221756531413199,0.04418110474944115,27.364861965179443,55,0.0673675537109375,0.009842172980766891,0.0,0.0,0.0,0.000508513143286109,False,False,False,False
10,19,0.0488139498220592,71.95355987548828,14.065608899804745,0.04073011130094528,27.606102526187897,55,0.06987762451171875,0.009562002384492823,0.0,0.0,0.0,0.0015016723051667212,False,False,False,False
10,20,0.05453774647163972,71.88182830810547,14.907108467001448,0.04019450023770332,27.097398452460766,55,0.0717315673828125,0.005514364647392191,0.0,0.0,0.0,0.0016794562637805937,False,False,False,False
10,21,0.04887566942174242,71.8106460571289,15.680638818413225,0.04643012955784798,27.054369784891605,56,0.0711822509765625,0.0116501504163046,0.0,0.0,0.0,0.0006564311385154724,False,False,False,False
10,22,0.05284599916796686,71.73741149902344,16.476500020498097,0.056845176964998245,25.982221104204655,56,0.07323455810546875,0.00802748035479782,0.0,0.0,0.0,0.0023610785827040673,False,False,False,False
10,23,0.0633513886507663,71.6550521850586,17.24744071105504,0.06267061829566956,26.41697969287634,56,0.08235931396484375,0.007273351733752808,0.0,0.0,0.0,0.00173457358032465,False,False,False,False
10,24,0.06514342873709772,71.57042694091797,18.032695417623927,0.07012569904327393,26.805078573524952,56,0.084625244140625,0.008058914942866825,0.0,0.0,0.0,0.0014229004606604574,False,False,False,False
10,25,0.06950833155133197,71.48522186279297,18.814453837808024,0.08060752600431442,26.37861303985119,56,0.085205078125,0.004105513312738454,0.0,0.0,0.0,0.0015912332609295844,False,False,False,False
10,26,0.07136977111718873,71.3997573852539,18.882652870843366,0.09188488870859146,26.45740929991007,56,0.0854644775390625,0.003633101031339978,0.0,0.0,0.0,0.00046160539053380486,False,False,False,False
10,27,0.07103767482234716,71.31501770019531,19.02600893694693,0.10344723612070084,26.45607154816389,56,0.08473968505859375,0.003398970396755357,0.0,0.0,0.0,0.0003030398394912481,False,False,False,False
10,28,0.07106116782040599,71.226318359375,19.33231896828721,0.1112656518816948,26.45096831023693,56,0.0886993408203125,0.007347700710359182,0.0,0.0,0.0,0.00029047228954732417,False,False,False,False
10,29,0.07181754383663497,71.13697814941406,19.785501877819307,0.11957123130559921,26.73589199781418,56,0.0893402099609375,0.006414361821163096,0.0,0.0,0.0,0.001108304303139448,False,False,False,False
10,30,0.07466523756035738,71.04822540283203,20.34973174925362,0.13014107942581177,26.348887123167515,56,0.08875274658203125,0.0028149451171500315,0.0,0.0,0.0,0.0012725639045238495,False,False,False,False
