episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,invalid_creep_penalty,unsafe_commit_penalty,wait_reward,build_speed_reward,commit_reward,lead_gap_m,lead_ttc_s,rear_gap_m,rear_ttc_s,merge_time_current_s,merge_time_target_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
50,0,-0.09865607430138541,72.39385223388672,0.005966828067482045,0.0376308411359787,21.145586539059877,56,0.0,0.008656074301385422,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,5.107448771898745,True,False,0,False,False,False,False
50,1,-0.09871849600066884,72.39385223388672,0.0031017498605546466,0.03762555122375488,23.30189399421215,56,0.0,0.008718496000668851,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,4.634816381313279,True,False,0,False,False,False,False
50,2,-0.09890871770228092,72.39385223388672,0.006173309688783976,0.0375499427318573,23.47624696791172,56,0.0,0.008908717702280931,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,4.60039460939471,True,False,0,False,False,False,False
50,3,-0.0984189848491868,72.39385223388672,0.006531882488496265,0.037457093596458435,23.56901451945305,56,0.0,0.008418984849186816,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,4.582287473702413,True,False,0,False,False,False,False
50,4,-0.09842483593382939,72.39385986328125,0.0057689496575436166,0.037370577454566956,23.651376692578197,56,-7.62939453125e-06,0.00841720653929814,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,4.56633038337639,True,False,0,False,False,False,False
50,5,-0.09843671747929027,72.39385986328125,0.004675998950897654,0.03729817271232605,23.755156137049198,56,0.0,0.008436717479290265,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,4.546381399344297,True,False,0,False,False,False,False
50,6,-0.09846129041897649,72.39385986328125,0.003592517602607158,0.0372413694858551,23.85960504412651,56,0.0,0.008461290418976492,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.288114547729492,948.2496731408105,inf,inf,60.0,4.526478950521699,True,False,0,False,False,False,False
50,7,-0.09858017621752115,72.39385986328125,0.002660969153288717,0.03719872236251831,24.04356149956584,56,0.0,0.008580176217521149,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.286588668823242,933.7970332522619,inf,inf,60.0,4.491847017004955,True,False,0,False,False,False,False
50,8,-0.09858983121495028,72.39385986328125,0.0008660277551194769,0.03718551993370056,24.149469025433064,56,0.0,0.00858983121495029,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.285072326660156,928.3558090852642,inf,inf,60.0,4.472148016432973,True,False,0,False,False,False,False
50,9,-0.0985929098570174,72.39385986328125,0.0011761393171615376,0.03716999292373657,24.255756251513958,56,0.0,0.008592909857017394,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.28353500366211,926.4177687664163,inf,inf,60.0,4.452551339983845,True,False,0,False,False,False,False
