episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,lane_penalty,idle_penalty,action_delta_penalty,success,crashed,timed_out,stuck
39,0,-0.13473326050140982,72.39385223388672,0.0059544461908618155,0.03763103485107422,32.90506526827812,56,0.0,0.012977451459220956,0.0,0.0,0.0,0.08,0.03175580904218885,False,False,False,False
39,1,-0.1027059419425996,72.39385223388672,0.0030998091632523047,0.03762592375278473,30.944829136133194,56,0.0,0.011202875650567,0.0,0.0,0.0,0.08,0.0015030662920325994,False,False,False,False
39,2,-0.10183029869910559,72.39385223388672,0.006173292242534419,0.03755028545856476,31.19607836008072,56,0.0,0.011419433516117251,0.0,0.0,0.0,0.08,0.0004108651829883456,False,False,False,False
39,3,-0.10140428225345759,72.39385223388672,0.006535168071133938,0.037457436323165894,31.147048249840736,56,0.0,0.011266348820401714,0.0,0.0,0.0,0.08,0.0001379334330558777,False,False,False,False
39,4,-0.10141525303698429,72.39385223388672,0.005760699455477474,0.03737075626850128,31.14171400666237,56,0.0,0.011280782395371286,0.0,0.0,0.0,0.08,0.0001344706416130066,False,False,False,False
39,5,-0.10141136287809904,72.39385986328125,0.004674958840103976,0.03729851543903351,31.13316848874092,56,-7.62939453125e-06,0.011274126402154533,0.0,0.0,0.0,0.08,0.00012960708141326904,False,False,False,False
39,6,-0.10140701883173797,72.39385986328125,0.003588631397094028,0.03724166750907898,31.127222031354904,56,0.0,0.01128111135102126,0.0,0.0,0.0,0.08,0.00012590748071670532,False,False,False,False
39,7,-0.10140316215449281,72.39385986328125,0.002668856271842499,0.0371989905834198,31.12326443195343,56,0.0,0.011282209548291651,0.0,0.0,0.0,0.08,0.00012095260620117186,False,False,False,False
39,8,-0.10141014558120015,72.39385986328125,0.0008726288655951403,0.03718574345111847,31.11945167183876,56,0.0,0.01129032099057305,0.0,0.0,0.0,0.08,0.00011982459062710405,False,False,False,False
39,9,-0.10140402721161793,72.39385986328125,0.0011766693137700611,0.03717018663883209,31.118926629424095,56,0.0,0.011287972381010895,0.0,0.0,0.0,0.08,0.00011605483060702681,False,False,False,False
39,10,-0.09595325053206724,72.38908386230469,2.078990023962619,0.03726145997643471,31.11566036939621,56,0.0047760009765625,0.010610383810969869,0.0,0.0,0.0,0.08,0.00011886769765987993,False,False,False,False
