episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,invalid_creep_penalty,unsafe_commit_penalty,commit_reward,lead_gap_m,lead_ttc_s,rear_gap_m,rear_ttc_s,merge_time_current_s,merge_time_target_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
74,0,-0.10138515690530983,72.39385223388672,0.005961287672900872,0.03763076663017273,23.329620910808444,56,0.0,0.01138515690530983,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,4.62930796916483,True,False,0,False,False,False,False
74,1,-0.10126089893066678,72.39385223388672,0.0031175854789084402,0.03762516379356384,27.7623113617301,56,0.0,0.011260898930666782,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.8901660093358172,True,False,0,False,False,False,False
74,2,-0.10379738099793621,72.39385223388672,0.006174950449774133,0.0375497043132782,27.446214705705643,56,0.0,0.013797380997936225,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.9349688530108478,True,False,0,False,False,False,False
74,3,-0.1014693635048217,72.39385223388672,0.006527798847420813,0.0374569296836853,27.34622899442911,56,0.0,0.011469363504821703,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.9493562356258125,True,False,0,False,False,False,False
74,4,-0.10076297002691144,72.39385986328125,0.005765999611798335,0.03737041354179382,27.415900714695454,56,-7.62939453125e-06,0.010755340632380185,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.939319781024371,True,False,0,False,False,False,False
74,5,-0.10056601206834222,72.39385986328125,0.004675451662995637,0.03729800879955292,27.41626851260662,56,0.0,0.010566012068342217,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.9392669338038893,True,False,0,False,False,False,False
74,6,-0.10056578171590749,72.39385986328125,0.003588092631575279,0.03724132478237152,27.426792159676552,56,0.0,0.010565781715907498,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.937755438960298,True,False,0,False,False,False,False
74,7,-0.10057004547346896,72.39385986328125,0.0026650360445276146,0.03719867765903473,27.439752258360386,56,0.0,0.010570045473468962,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.935895593484974,True,False,0,False,False,False,False
74,8,-0.10057219203453249,72.39385986328125,0.00087350931802127,0.03718540072441101,27.448361478745937,56,0.0,0.010572192034532498,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.9346610938371507,True,False,0,False,False,False,False
74,9,-0.10057581444507092,72.39385986328125,0.0011727608665862432,0.037169843912124634,27.45956640690565,56,0.0,0.01057581444507092,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.9330555479142486,True,False,0,False,False,False,False
74,10,-0.09462376478238411,72.38859558105469,2.0761131741550947,0.037261977791786194,27.468052580952644,56,0.0052642822265625,0.009888047008946623,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,52.02028547598433,3.9318404419718913,True,False,0,False,False,False,False
74,11,-0.07800054921789273,72.3669662475586,4.691908908387875,0.037551149725914,27.437648065388203,56,0.02162933349609375,0.009629882713986484,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,23.018349697055065,3.9361974372810353,True,False,0,False,False,False,False
74,12,0.015483101106963907,72.33282470703125,6.5741760575245465,0.037949033081531525,27.384029366075993,56,0.03414154052734375,0.008658439420379842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,16.427914168253434,3.943904622516694,True,False,0,False,False,False,False
74,13,0.28050764056017463,72.2886734008789,8.042650728537671,0.03854573518037796,27.37225379794836,56,0.04415130615234375,0.008058796207403462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25441513061523435,inf,inf,inf,inf,13.428408573902693,3.945601293821664,True,False,0,False,False,False,False
74,14,0.2889810942820939,72.23725128173828,9.227863836953835,0.11150164902210236,27.372426129877567,56,0.051422119140625,0.007583236772593591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551422119140625,inf,inf,inf,inf,11.703683746123778,3.945576453017286,True,False,0,False,False,False,False
74,15,0.29656381167425505,72.17941284179688,10.326158030444203,0.1480294018983841,27.386358864605427,56,0.05783843994140625,0.007058472261291802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557838439941406,inf,inf,inf,inf,10.458875380522734,3.943569151851762,True,False,0,False,False,False,False
