success,crashed,time_s,max_speed_kmh,max_a_long_mps2,max_a_lat_mps2,max_jerk_mps3,rms_jerk_mps3,n_collisions,episode,agent,behavior,traffic_profile,mean_headway,burst_prob,n_oncoming,ego_spawn,ego_dest,oncoming_anchor,oncoming_dest
True,False,10.100000150501728,53.96706903753988,14.182444089700157,15.93094717907076,230.9606965582375,49.35515844832623,0,0,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,11.10000016540289,47.56818511515932,14.182444089700157,15.93094717907076,230.9606965582375,44.581182565858676,0,1,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,10.250000152736902,49.815220333946584,14.182444089700157,15.93094717907076,230.9606965582375,49.16891447068587,0,2,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
False,True,5.950000088661909,31.162596965313764,14.182444089700157,38.196744814966905,782.2335179936852,92.3730329803366,1,3,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,9.55000014230609,57.57991840789509,14.171581564273161,15.923414325104124,230.9606965582375,50.17904338526356,0,4,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,9.400000140070915,67.31576491018585,14.182444089700157,16.04546052640811,230.9606965582375,49.82150027995414,0,5,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,11.200000166893005,45.77097467127052,14.182444089700157,15.908888382705934,230.9606965582375,45.70529664219312,0,6,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,10.150000151246786,52.46026549894405,14.182444089700157,15.93094717907076,230.9606965582375,49.06024020964102,0,7,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,10.200000151991844,48.7329016353259,14.182444089700157,16.082164421048745,230.9606965582375,49.059129139226634,0,8,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,9.400000140070915,51.54302039858073,14.182444089700157,11.457109189983017,230.9606965582375,52.857368703427596,0,9,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,11.60000017285347,57.42104226933149,26.883762155441655,15.93094717907076,409.688230011025,57.36088244699777,0,10,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,11.60000017285347,58.83154258399072,26.95492296274126,15.93094717907076,446.34598742991,61.431068792718655,0,11,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
False,True,6.050000090152025,29.98613422008738,14.182444089700157,15.92612735840026,230.9606965582375,54.15540979075047,1,12,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
False,True,5.600000083446503,42.67337946099077,14.182444089700157,22.546486082644474,360.5122847022101,64.73104444425516,1,13,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,11.700000174343586,56.65048142891885,26.954983863544268,15.934622966811656,446.3457525114324,60.70841478670403,0,14,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,10.900000162422657,47.72817457953786,14.182444089700157,15.93094717907076,230.9606965582375,47.94056495693507,0,15,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
False,True,9.200000137090683,41.31865342986935,28.893389303879765,11.569005799111313,643.9211318115924,68.75767408169334,1,16,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
True,False,9.400000140070915,67.50689293185877,14.182444089700157,15.93094717907076,230.9606965582375,50.28909849413858,0,17,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
False,True,6.000000089406967,29.98420953466184,14.182444089700157,15.933062478090648,230.9606965582375,55.71108172766595,1,18,behavior,aggressive,aggressive,0.6,0.25,30,54,211,203,137
