episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,invalid_creep_penalty,unsafe_commit_penalty,wait_reward,build_speed_reward,commit_reward,lead_gap_m,lead_ttc_s,rear_gap_m,rear_ttc_s,merge_time_current_s,merge_time_target_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
42,0,-0.10396347775084905,72.39385223388672,0.005960065182069789,0.0376308411359787,35.48465833067894,56,0.0,0.013963477750849053,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.0435688289163134,True,False,0,False,False,False,False
42,1,-0.10845612053512993,72.39385223388672,0.003115029947058192,0.037624940276145935,33.76847103238106,56,0.0,0.018456120535129936,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.19824963044484,True,False,0,False,False,False,False
42,2,-0.10615620283590319,72.39385223388672,0.006170919341986557,0.03754943609237671,34.85226050019264,56,0.0,0.016156202835903185,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.0987946965277344,True,False,0,False,False,False,False
42,3,-0.10459452288721888,72.39385223388672,0.006528090688900293,0.037456706166267395,34.16792571544647,56,0.0,0.014594522887218886,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.1608591314390466,True,False,0,False,False,False,False
42,4,-0.10355566139766313,72.39385986328125,0.00577581677620339,0.03737004101276398,34.53770577907562,56,-7.62939453125e-06,0.013548032003131892,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,3.127017199429352,True,False,0,False,False,False,False
42,5,-0.10336615323626606,72.39385986328125,0.004663814496699556,0.03729785978794098,34.37337085604668,56,0.0,0.013366153236266075,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.288972854614258,742.4380118651097,inf,inf,60.0,3.1419670899399597,True,False,0,False,False,False,False
42,6,-0.10302390409214379,72.39385986328125,0.003580370453527458,0.037241220474243164,34.352937787771225,56,0.0,0.013023904092143797,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.286977767944336,732.7545950816844,inf,inf,60.0,3.1438359265577938,True,False,0,False,False,False,False
42,7,-0.10293132191948018,72.39385986328125,0.0026594533943600294,0.03719857335090637,34.369159787893295,56,0.0,0.012931321919480182,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.284931182861328,723.4709551923866,inf,inf,60.0,3.142352058255539,True,False,0,False,False,False,False
42,8,-0.1029119861270773,72.39385986328125,0.000865080717909662,0.03718537092208862,34.38994958996773,56,0.0,0.012911986127077304,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.282922744750977,714.5463843960298,inf,inf,60.0,3.1404524079763663,True,False,0,False,False,False,False
42,9,-0.10291698917586876,72.39385986328125,0.001176600477861165,0.03716979920864105,34.40810143947601,56,0.0,0.012916989175868773,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.28079605102539,683.176393190247,inf,inf,60.0,3.138795675488589,True,False,0,False,False,False,False
42,10,-0.09696562506275962,72.38859558105469,2.0761976385835044,0.037261947989463806,34.424626529216766,56,0.0052642822265625,0.012229907289322113,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.265644073486328,47.27820104894903,inf,inf,52.01816917279779,3.1372889378578606,True,False,0,False,False,False,False
42,11,-0.08098476287252197,72.36751556396484,4.527436486587228,0.037550169974565506,34.63501498103142,56,0.02108001708984375,0.012064779962365726,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.209461212158203,22.689585773162406,inf,inf,23.854558825939527,3.118231652538578,True,False,0,False,False,False,False
42,12,0.012870920510762546,72.33345031738281,6.4228760053921174,0.03794256970286369,34.81668770313263,56,0.03406524658203125,0.011194326071268702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.122148513793945,16.209670319578834,inf,inf,16.81489723751978,3.1019607873348245,True,False,0,False,False,False,False
42,13,0.023163308766182923,72.28970336914062,7.994175342311464,0.03851622715592384,34.888746589422226,56,0.0437469482421875,0.010583639476004573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.013050079345703,13.10664946536004,inf,inf,13.509836271463682,3.0955540269464445,True,False,0,False,False,False,False
42,14,0.031042247772956236,72.23857879638672,9.176549123955802,0.11071363091468811,34.95189920067787,56,0.05112457275390625,0.010082324980950012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.887943267822266,11.449144187810662,inf,inf,11.769130044545946,3.0899608453295553,True,False,0,False,False,False,False
42,15,0.03800815790277285,72.18091583251953,10.293476525889718,0.14706401526927948,35.109218806028366,56,0.0576629638671875,0.009654805964414648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.748584747314453,10.229126945622461,inf,inf,10.492082021886674,3.076115153591969,True,False,0,False,False,False,False
42,16,0.0443664759648928,72.11719512939453,11.3052587220338,0.18800155818462372,35.4460908472538,56,0.063720703125,0.009354227160107196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.596590042114258,9.322937031454424,inf,inf,9.553076374051434,3.0468804152593134,True,False,0,False,False,False,False
42,17,0.05057439416665412,72.04759979248047,12.33548875953488,0.04524531960487366,35.64479425549507,56,0.0695953369140625,0.009020942747408374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,8.755226655816129,3.0298954519382733,True,False,0,False,False,False,False
42,18,0.056017099472784625,71.97309112548828,13.236559898864103,0.04689010605216026,35.03913268446922,56,0.0745086669921875,0.008491567519402879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,8.159219678314457,3.082268073600749,True,False,0,False,False,False,False
