file,episodes,successes,crashes,success_rate,crash_rate,time_mean_all,time_median_all,time_mean_success,time_median_success,time_p90_success,max_jerk_mean_all,max_jerk_p90_success,max_jerk_max_all,rms_jerk_mean_all,max_a_long_mean,max_a_lat_mean,max_speed_mean
results\left_turn\test_behavior_aggressive_100_aggressive.csv,100,91,9,0.91,0.09,6.368000094890594,6.200000092387199,6.500000096857548,6.2500000931322575,7.300000108778477,516.8621556437349,600.8962082770175,5101.308441276064,80.2222198655555,28.333239581379953,17.939895536242478,29.440976258712798
results\left_turn\test_behavior_normal_100_aggressive.csv,100,89,11,0.89,0.11,6.417000095620751,6.200000092387199,6.583146165512251,6.350000094622374,7.360000109672547,511.20182327006324,578.6029182837827,4477.132646444715,80.07591962073991,29.15813290682759,17.45437012595529,27.45389873715042
results\left_turn\test_behavior_normal_100_normal.csv,100,81,18,0.81,0.18,6.828500101752579,6.050000090152025,6.650617383052538,6.350000094622374,7.500000111758709,663.0363332394293,546.0892050244439,4446.412518274378,95.9941427215775,37.93932200910372,17.44250084827944,27.29898857247545
results\left_turn\test_behavior_aggressive_100_normal.csv,100,79,21,0.79,0.21,6.09750009085983,5.950000088661909,6.505063388072237,6.000000089406967,7.350000109523535,683.7208499841379,572.2119025966281,3366.606136390635,98.1745228830887,38.50031045151524,17.932679777304024,29.04701601480905
