file,episodes,successes,crashes,success_rate,crash_rate,time_mean_all,time_median_all,time_mean_success,time_median_success,time_p90_success,max_jerk_mean_all,max_jerk_p90_success,max_jerk_max_all,rms_jerk_mean_all,max_a_long_mean,max_a_lat_mean,max_speed_mean
results\left_turn\behavior_normal_100_normal.csv,100,84,16,0.84,0.16,6.164000091850758,6.050000090152025,6.456547715257676,6.050000090152025,7.420000110566615,555.8145049237235,539.9365065581288,3098.689530806134,84.52076471077427,31.123566794280464,10.35939803125363,27.356887185995596
results\left_turn\behavior_aggressive_100_normal.csv,100,83,16,0.83,0.16,6.585000098124146,5.950000088661909,6.311445877180401,6.000000089406967,7.1900001071393485,604.299739496968,551.4731271092187,3503.018396480719,89.3315738661085,32.584664472345686,11.675741247011118,29.240432979213036
results\left_turn\behavior_aggressive_100_aggressive.csv,100,73,25,0.73,0.25,6.8805001025274395,5.950000088661909,6.210958996660088,5.950000088661909,6.790000101178885,756.0683331101527,564.7376820761208,3301.034815127958,105.00473191507734,40.56519671088929,11.049436992010566,28.938098286210938
results\left_turn\behavior_normal_100_aggressive.csv,100,73,26,0.73,0.26,6.516500097103417,6.050000090152025,6.454794616731879,6.050000090152025,7.300000108778477,762.0556233591923,557.3678686877528,2998.5318725402644,104.63386784412464,40.48294854068813,12.462893462363937,27.242646051104643
