success,crashed,time_s,max_speed_kmh,max_a_long_mps2,max_a_lat_mps2,max_jerk_mps3,rms_jerk_mps3,n_collisions,episode,agent,behavior,traffic_profile,mean_headway,burst_prob,n_oncoming,ego_spawn,ego_dest,oncoming_anchor,oncoming_dest
False,True,4.550000067800283,26.041533889545146,97.93718896468388,7.117445644128499,1883.2550875491766,213.8804839118796,1,0,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.350564059736328,14.82858850778304,9.724429033975598,227.71279730281145,54.21904147457512,0,1,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.2500000931322575,27.926528454230553,14.82858850778304,9.292517991346685,227.71279730281145,50.94288433734557,0,2,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.300000108778477,27.440772730425856,26.935310837216207,9.825523939903047,450.0485349745694,71.41460540639214,0,3,behavior,normal,normal,1.0,0.25,30,224,83,173,227
False,True,4.450000066310167,26.041533889545146,112.24101853922646,19.533642990237013,2202.1640895222736,251.35872705901568,1,4,behavior,normal,normal,1.0,0.25,30,224,83,173,227
False,True,4.500000067055225,26.041533889545146,55.63767324588217,7.117445644128499,1067.3089454042836,128.62485488132995,1,5,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.28911527037515,14.82858850778304,9.792418329188108,227.71279730281145,53.2240847712547,0,6,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.309703209352165,14.82858850778304,9.729701111092174,227.71279730281145,54.095359335214454,0,7,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.42685992464167,14.82858850778304,9.657336633228738,227.71279730281145,54.19943037469499,0,8,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.4360926317058,14.82858850778304,9.511754969463867,227.71279730281145,54.53125706596354,0,9,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.1500001065433025,27.8344181174744,26.9160642789475,8.833116729255446,405.90783546913406,68.5243215926293,0,10,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.43941391003458,14.82858850778304,9.703728838598087,227.71279730281145,54.13671969299057,0,11,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.450000111013651,27.62791508078649,27.01391524093002,8.708537989887018,283.00475937649156,63.470239312343296,0,12,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.500000111758709,27.951127107132088,26.95463641442963,8.74470627072718,449.82268648265375,70.13301261044845,0,13,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.45000009611249,27.96327179155559,27.056539844699866,9.129848012015627,549.8102587553796,76.78284570214753,0,14,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.255393086919703,14.82858850778304,9.720779468919078,227.71279730281145,54.92310428295823,0,15,behavior,normal,normal,1.0,0.25,30,224,83,173,227
False,True,4.500000067055225,26.041533889545146,117.30658343341587,7.117445644128499,2289.3343160350687,259.30704634051807,1,16,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.250000108033419,27.665591558122628,26.934367415762654,9.34232754556396,451.9908278729248,71.64322433326305,0,17,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.784666107796387,14.82858850778304,10.709445202294686,227.71279730281145,54.24962827647455,0,18,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.24856459669993,14.82858850778304,9.23250030604988,227.71279730281145,53.74740380819003,0,19,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.723983632089087,14.82858850778304,9.729701111092174,227.71279730281145,54.363713809442224,0,20,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.600000113248825,27.89439867601645,26.900586992702735,8.232667053961736,494.8428680607958,69.71713893880336,0,21,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,7.300000108778477,27.991311914130414,26.934088369067027,10.524663676171905,453.36370795837644,76.9459848929636,0,22,behavior,normal,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,27.309703209352165,14.82858850778304,9.729701111092174,227.71279730281145,54.095359335214454,0,23,behavior,normal,normal,1.0,0.25,30,224,83,173,227
