episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,invalid_creep_penalty,unsafe_commit_penalty,lane_end_urgency_penalty,longitudinal_smooth_penalty,wait_reward,build_speed_reward,commit_reward,lead_gap_m,lead_ttc_s,rear_gap_m,rear_ttc_s,merge_time_current_s,merge_time_target_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
24,0,-0.01993832230641194,72.39385223388672,0.00595137257136763,0.03763110935688019,19.32566363364458,56,0.0,0.009938322306411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,5.588423872388001,True,False,0,False,False,False,False
24,1,-0.01746993530412319,72.39385223388672,0.003101643329775951,0.03762596845626831,16.719108000397682,56,0.0,0.007469935304123191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,6.459674762399471,True,False,0,False,False,False,False
24,2,-0.01827403909732482,72.39385223388672,0.006175249231426648,0.037550315260887146,16.117083504796028,56,0.0,0.008274039097324819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,6.7009642264285585,True,False,0,False,False,False,False
24,3,-0.022133076847654233,72.39385223388672,0.00653535556302186,0.03745746612548828,19.65940821915865,56,0.0,0.012133076847654231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,5.493552949104081,True,False,0,False,False,False,False
24,4,-0.021073925994841355,72.39385223388672,0.00576234457463703,0.037370726466178894,16.973898746073246,56,0.0,0.011073925994841353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.284706115722656,565.4275613169331,inf,inf,60.0,6.362710277447884,True,False,0,False,False,False,False
24,5,-0.021867724508719488,72.39385986328125,0.004672182569373688,0.03729844093322754,19.930262379348278,56,-7.62939453125e-06,0.011860095114188238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,5.418895042340712,True,False,0,False,False,False,False
24,6,-0.021251567054311325,72.39385986328125,0.003586974680753641,0.03724166750907898,17.036791183054447,56,0.0,0.011251567054311323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.279525756835938,570.5683466027622,inf,inf,60.0,6.339221913303816,True,False,0,False,False,False,False
24,7,-0.02208094573359609,72.39385986328125,0.00266134467957161,0.03719891607761383,19.966996237635612,56,0.0,0.012080945733596093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,5.408925744996725,True,False,0,False,False,False,False
24,8,-0.021257234010834777,72.39385986328125,0.0008722208759624103,0.0371856689453125,17.05107729882002,56,0.0,0.011257234010834779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.274383544921875,567.6871010783356,inf,inf,60.0,6.333910644313008,True,False,0,False,False,False,False
24,9,-0.021962620571299968,72.39385986328125,0.00117415921516417,0.03717011213302612,19.989571049809456,56,0.0,0.011962620571299966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,60.0,5.402817285618016,True,False,0,False,False,False,False
24,10,-0.01597968557906059,72.38921356201172,2.079501839521298,0.037262387573719025,17.07352001219988,56,0.00464630126953125,0.010625986848591841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25754165649414,45.97459175149336,inf,inf,51.93551549098973,6.325584877800749,True,False,0,False,False,False,False
24,11,0.0005592086000313894,72.3681869506836,4.66947125884013,0.03750978782773018,19.95562132447958,56,0.021026611328125,0.01046740272809361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,23.128957008898386,5.4120088893206395,True,False,0,False,False,False,False
24,12,0.01276036028828677,72.33631134033203,6.638113178803216,0.037750307470560074,17.099920995533466,56,0.0318756103515625,0.00911525006327573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.118305206298828,15.279984826487988,inf,inf,16.269683431259498,6.315818653677395,True,False,0,False,False,False,False
24,13,0.022851302149371346,72.29418182373047,8.10893579565299,0.037909895181655884,19.82752103358507,56,0.0421295166015625,0.009278214452191152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,13.31864041368983,5.4469744259538535,True,False,0,False,False,False,False
24,14,0.029792433777406695,72.24616241455078,9.356444549426106,0.03802398592233658,17.15342838317156,56,0.0480194091796875,0.0082269754022808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,11.542846155874923,6.2961174633727355,True,False,0,False,False,False,False
24,15,0.03612630821812029,72.1913833618164,10.357647111203535,0.03808274120092392,20.199822541326284,56,0.054779052734375,0.00865274451625471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,10.427078547904944,5.346581623627913,True,False,0,False,False,False,False
24,16,0.04107094179524334,72.13268280029297,11.337764216463343,0.0876879021525383,17.342681027948856,56,0.0587005615234375,0.007629619728194152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,9.5256875992513,6.227410849911325,True,False,0,False,False,False,False
24,17,0.04682497406720687,72.06780242919922,12.305662213849105,0.037978705018758774,20.355795174837112,56,0.06488037109375,0.008055397026543128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418636322021484,8.163447566380182,inf,inf,8.776447632249653,5.305614399849365,True,False,0,False,False,False,False
24,18,0.05110355347130117,72.0,13.178382992250235,0.03545873239636421,16.391067802906036,56,0.06780242919921875,0.006698875727917582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.235715866088867,7.559568061799564,inf,inf,8.195239132411858,6.588954502454822,True,False,0,False,False,False,False
24,19,-0.44048894351804524,71.92891693115234,13.87813532497505,0.0283474400639534,15.062269940972328,56,0.07108306884765625,0.005765697059669363,0.0,0.09946704212705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4460727942425071,0.0,0.0,0.0,0.0,0.0,0.0,28.043455123901367,7.124936464960369,inf,inf,7.782025284451834,7.17023399681736,False,True,1,False,False,False,False
24,20,-0.49733320686395976,71.85457611083984,14.270628677516875,0.020587647333741188,14.801543802022934,56,0.0743408203125,0.003018061629007981,0.0,0.25319195095578534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4320599900695591,0.0,0.0,0.0,0.0,0.0,0.0,27.84626579284668,6.888821072923802,inf,inf,7.567991743079414,7.296536188694019,False,True,2,False,False,False,False
24,21,-0.09397777832670688,71.78229522705078,14.54042709350349,0.014566157944500446,16.713009998202324,56,0.0722808837890625,0.00501372223281691,0.0,0.30248987976590497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,7.427567244448635,6.462031675420325,True,False,0,False,False,False,False
24,22,-0.1615611629153914,71.71279907226562,14.90645445238305,0.01653851941227913,20.43320842087269,56,0.06949615478515625,0.005516609079802193,0.0,0.4310814172414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.392507553100586,6.329138201589979,inf,inf,7.245183644775728,5.285513551052371,True,False,0,False,False,False,False
24,23,-0.7099580370038396,71.63933563232422,15.325739694934528,0.02140345424413681,15.896109715104103,56,0.07346343994140625,0.006297100728319273,0.0,0.5594652444509636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48739175399144485,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,7.046968182272875,6.794115159974077,False,True,1,False,False,False,False
24,24,-0.0638993149357822,71.56202697753906,15.685144893437217,0.024757035076618195,16.656151860952377,56,0.07730865478515625,0.0004897608522376782,0.0,0.26143641773740156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,6.885495845510999,6.484090737260167,True,False,0,False,False,False,False
24,25,0.0024394947556584407,71.48678588867188,16.09323824552135,0.032054077833890915,19.12141878157854,56,0.0752410888671875,0.007882397426971343,0.0,0.10983839336911543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,6.710893006884786,5.648116451695862,True,False,0,False,False,False,False
24,26,0.04680981727365327,71.41001892089844,16.669863372699147,0.03983975946903229,17.512737773358822,56,0.0767669677734375,0.004407954177622754,0.0,0.031098392644322948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,6.478757359036043,6.166939823897469,True,False,0,False,False,False,False
24,27,0.06770610015109381,71.32475280761719,17.306786343908318,0.04125451296567917,21.435928121209145,56,0.08526611328125,0.007560013130156197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,6.240326647241132,5.038270299719031,True,False,0,False,False,False,False
24,28,-0.027120046123013657,71.23597717285156,18.0290150072508,0.04191817343235016,18.6534071713686,56,0.088775634765625,0.004485433483866092,0.0,0.20282049480954512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.99034389602345,5.789826974118212,True,False,0,False,False,False,False
24,29,0.07743768726415222,71.14305114746094,18.698098834657184,0.04117199033498764,21.800167746841908,56,0.092926025390625,0.005488338126472793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.775988294586426,4.954090319586897,True,False,0,False,False,False,False
24,30,0.07397392152093,71.05108642578125,18.57273799651424,0.041445959359407425,18.523541651666164,56,0.0919647216796875,0.0079908001587575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.814974616035052,5.830418503703667,True,False,0,False,False,False,False
24,31,0.07387019045202042,70.96077728271484,18.516295147630743,0.0421341210603714,21.66996108368039,56,0.09030914306640625,0.0064389526143858265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.832700285824682,4.983857588989147,True,False,0,False,False,False,False
24,32,0.073546814834517,70.87179565429688,18.517984980171185,0.04330090433359146,18.607565872371197,56,0.08898162841796875,0.005434813583451754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.832168031005803,5.8040906984163945,True,False,0,False,False,False,False
24,33,0.07127962033779611,70.78380584716797,18.46624574307173,0.04450499266386032,21.81166671216488,55,0.08798980712890625,0.006710186791110139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.848508760397063,4.951478556187816,True,False,0,False,False,False,False
24,34,0.07121407908648641,70.6969223022461,18.454739561688644,0.04582097753882408,19.248277209699154,55,0.086883544921875,0.005669465835388587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.852155195091672,5.610891760514499,True,False,0,False,False,False,False
24,35,0.0697299629335648,70.61031341552734,18.59633472349007,0.04692651703953743,22.447966674808413,55,0.08660888671875,0.0068789237851852045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.807596045449706,4.811126173008796,True,False,0,False,False,False,False
24,36,0.07114846479796745,70.52355194091797,18.910815660756136,0.048216819763183594,19.53498523682356,55,0.086761474609375,0.005613009811407558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.711017543474997,5.52854269868704,True,False,0,False,False,False,False
24,37,0.07136665479432033,70.43547821044922,19.360773132551046,0.049173060804605484,22.6968607516028,55,0.08807373046875,0.006707075674429675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.578289630305147,4.758367299423701,True,False,0,False,False,False,False
24,38,0.07371266552724157,70.34628295898438,19.8622818613734,0.050404831767082214,19.62938390672207,55,0.08919525146484375,0.005482585937602194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.437441717612008,5.501955665710704,True,False,0,False,False,False,False
24,39,0.07397163008496602,70.25584411621094,20.23844040469644,0.05131784453988075,22.854939065873623,55,0.0904388427734375,0.006467212688471485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.336379574729385,4.725455608904365,True,False,0,False,False,False,False
24,40,0.07514889283823992,70.16483306884766,20.651796239555612,0.05241445079445839,22.023399956524372,54,0.09101104736328125,0.005862154525041337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.229569319163685,4.90387497903135,True,False,0,False,False,False,False
24,41,0.07735427127193864,70.07479858398438,21.183763564719413,0.05569213628768921,23.932878468185663,54,0.09003448486328125,0.0026802135913426162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,5.098244212839925,4.512620583586133,True,False,0,False,False,False,False
24,42,0.07936780466663344,69.98363494873047,21.80915725313136,0.05935164913535118,24.385371655225754,54,0.09116363525390625,0.0017958305872728128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.952048295423857,4.428884723471325,True,False,0,False,False,False,False
24,43,0.08084113181903294,69.89142608642578,22.51261022014409,0.06374366581439972,24.541559033095837,54,0.0922088623046875,0.0013677304856545736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.7973113265809815,4.400698417502947,True,False,0,False,False,False,False
24,44,0.08270027498722796,69.79344177246094,23.308862289658894,0.06410888582468033,24.609402995556593,54,0.09798431396484375,0.005284038977615797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.63343078087148,4.38856643615045,True,False,0,False,False,False,False
24,45,0.08507590801968831,69.69380950927734,24.08403635634952,0.06474880129098892,24.8591248691082,54,0.09963226318359375,0.0045563551639054446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.484298163398464,4.344481174162685,True,False,0,False,False,False,False
24,46,0.054265285977239765,69.59392547607422,24.82048902366048,0.06702111661434174,24.741494078189135,54,0.099884033203125,0.0009292457739627551,0.03468950145192249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.3512438412090715,4.365136545864763,True,False,0,False,False,False,False
24,47,-0.05915244117354567,69.4956283569336,25.46224067594784,0.07229917496442795,24.78202259168029,53,0.098297119140625,0.0031473610322050828,0.14430219928196558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.241574862734647,4.357997802659469,True,False,0,False,False,False,False
24,48,-0.1543826699480884,69.39777374267578,25.76391463649398,0.07821886241436005,25.386467278003693,53,0.0978546142578125,0.0025107669194444214,0.2397265172864565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.191909557370623,4.254235093733482,True,False,0,False,False,False,False
24,49,-0.21187801981947152,69.30139923095703,25.815253315026464,0.08442885428667068,25.80619242042303,53,0.09637451171875,0.0003076954470011598,0.29794483609122036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.183573125627077,4.185042033342693,True,False,0,False,False,False,False
24,50,-0.2337554643166772,69.20257568359375,25.63728175820631,0.08600126206874847,25.708277709782124,53,0.09882354736328125,0.008196033538176873,0.31438297814178157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.21261508995313,4.20098153673303,True,False,0,False,False,False,False
24,51,-0.18106912331638536,69.0987319946289,25.34187306816218,0.07945786416530609,28.330246657133102,53,0.10384368896484375,0.007219955855426398,0.2676928564258027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,4.261721290668286,3.8121800105403363,True,False,0,False,False,False,False
