episode,scenario,reward,success,crashed,timed_out,stuck,steps,goal_distance,lane_offset_m,target_speed_kmh,failure_type,max_lane_offset,final_goal_distance,low_speed_ratio,high_traffic_ratio,notes
1,highway_merge,-78.38323517305494,False,True,False,False,254,6.606522083282471,0.19166630506515503,45.0,terminal_oscillation_collision,3.4712460041046143,6.606522083282471,0.28346456692913385,0.15748031496062992,max_lane_offset=3.471; final_goal_distance=6.607; low_speed_ratio=0.283; high_traffic_ratio=0.157
5,highway_merge,-129.30139789700218,False,True,False,False,191,49.015235900878906,1.162995457649231,45.0,lane_departure_early_collision,3.5255126953125,49.015235900878906,0.4712041884816754,0.19895287958115182,max_lane_offset=3.526; final_goal_distance=49.015; low_speed_ratio=0.471; high_traffic_ratio=0.199
6,highway_merge,-100.50322609563949,False,True,False,False,190,47.29937744140625,1.5102741718292236,45.0,lane_departure_early_collision,3.5033538341522217,47.29937744140625,0.28421052631578947,0.1736842105263158,max_lane_offset=3.503; final_goal_distance=47.299; low_speed_ratio=0.284; high_traffic_ratio=0.174
7,highway_merge,-133.78938491236337,False,True,False,False,188,46.92189407348633,1.684782862663269,45.0,lane_departure_early_collision,3.4067540168762207,46.92189407348633,0.4308510638297872,0.2553191489361702,max_lane_offset=3.407; final_goal_distance=46.922; low_speed_ratio=0.431; high_traffic_ratio=0.255
10,highway_merge,-107.46772767790677,False,True,False,False,194,47.877593994140625,1.5033462047576904,45.0,lane_departure_early_collision,3.3967137336730957,47.877593994140625,0.520618556701031,0.18556701030927836,max_lane_offset=3.397; final_goal_distance=47.878; low_speed_ratio=0.521; high_traffic_ratio=0.186
11,highway_merge,-112.8073799065906,False,True,False,False,188,48.20393371582031,1.453539252281189,45.0,lane_departure_early_collision,3.4352777004241943,48.20393371582031,0.43617021276595747,0.21808510638297873,max_lane_offset=3.435; final_goal_distance=48.204; low_speed_ratio=0.436; high_traffic_ratio=0.218
14,highway_merge,-85.71261685619888,False,True,False,False,193,48.039756774902344,1.6972951889038086,45.0,lane_departure_early_collision,3.305699586868286,48.039756774902344,0.45595854922279794,0.13989637305699482,max_lane_offset=3.306; final_goal_distance=48.040; low_speed_ratio=0.456; high_traffic_ratio=0.140
15,highway_merge,-118.11764930389805,False,True,False,False,189,49.66852951049805,1.4114216566085815,45.0,lane_departure_early_collision,3.4199395179748535,49.66852951049805,0.41798941798941797,0.164021164021164,max_lane_offset=3.420; final_goal_distance=49.669; low_speed_ratio=0.418; high_traffic_ratio=0.164
19,highway_merge,-105.81849716386625,False,True,False,False,190,48.385162353515625,1.3516650199890137,45.0,lane_departure_early_collision,3.5092806816101074,48.385162353515625,0.3473684210526316,0.18421052631578946,max_lane_offset=3.509; final_goal_distance=48.385; low_speed_ratio=0.347; high_traffic_ratio=0.184
21,highway_merge,-102.282174660962,False,True,False,False,191,49.19110107421875,1.2675244808197021,45.0,lane_departure_early_collision,3.5103607177734375,49.19110107421875,0.39790575916230364,0.15706806282722513,max_lane_offset=3.510; final_goal_distance=49.191; low_speed_ratio=0.398; high_traffic_ratio=0.157
