episode,step,reward,phase,goal_distance,speed_kmh,dist_to_conflict,phase_touch_idx,progress_reward,comfort_penalty,phase_bonus,phase_penalty,success,crashed,timed_out
74,0,0.013625113368034361,APPROACH_DECIDE,34.10476303100586,0.0075825914777640484,16.90724754333496,13,-3.814697265625e-06,0.0013710719347000122,0.02,0.0,False,False,False
74,1,0.01437107190489769,APPROACH_DECIDE,34.10476303100586,0.0008395614404508854,16.90724754333496,13,0.0,0.0006289280951023102,0.02,0.0,False,False,False
74,2,0.012371071875095365,APPROACH_DECIDE,34.10476303100586,0.0040463331622289265,16.90724754333496,13,0.0,0.0026289281249046326,0.02,0.0,False,False,False
74,3,0.01237488657236099,APPROACH_DECIDE,34.104759216308594,0.0047508317058563235,16.90724754333496,13,3.814697265625e-06,0.0026289281249046326,0.02,0.0,False,False,False
74,4,0.010899430513381957,APPROACH_DECIDE,34.104759216308594,0.00436912528277231,16.90724754333496,13,0.0,0.004100569486618042,0.02,0.0,False,False,False
74,5,0.010899430513381957,APPROACH_DECIDE,34.104759216308594,0.0036149136732798307,16.90724754333496,13,0.0,0.004100569486618042,0.02,0.0,False,False,False
74,6,0.010899430513381957,APPROACH_DECIDE,34.104759216308594,0.0028156585526464984,16.90724754333496,13,0.0,0.004100569486618042,0.02,0.0,False,False,False
74,7,0.010899430513381957,APPROACH_DECIDE,34.104759216308594,0.002109615233380273,16.90724754333496,13,0.0,0.004100569486618042,0.02,0.0,False,False,False
74,8,0.010899430513381957,APPROACH_DECIDE,34.104759216308594,0.0006945419432296414,16.90724754333496,13,0.0,0.004100569486618042,0.02,0.0,False,False,False
74,9,0.010899430513381957,APPROACH_DECIDE,34.104759216308594,0.0009442749421868372,16.90724754333496,13,0.0,0.004100569486618042,0.02,0.0,False,False,False
74,10,0.021130448579788207,APPROACH_DECIDE,34.09452819824219,2.03090987935729,16.895341873168945,13,0.01023101806640625,0.004100569486618042,0.02,0.0,False,False,False
74,11,0.05349052548408508,APPROACH_DECIDE,34.051937103271484,4.673922863454557,16.845687866210938,13,0.042591094970703125,0.004100569486618042,0.02,0.0,False,False,False
74,12,0.07652963131666184,APPROACH_DECIDE,33.98643493652344,6.640978829885545,16.769153594970703,13,0.06550216674804688,0.003972535431385041,0.02,0.0,False,False,False
74,13,0.09804566398262977,APPROACH_DECIDE,33.90147399902344,8.029296239263529,16.67079734802246,13,0.0849609375,0.001915273517370224,0.02,0.0,False,False,False
74,14,0.11178262889385224,APPROACH_DECIDE,33.80171203613281,9.216241654502872,16.555116653442383,13,0.099761962890625,0.002979333996772766,0.02,0.0,False,False,False
74,15,0.12287195384502411,APPROACH_DECIDE,33.690860748291016,10.275043304742042,16.425859451293945,13,0.11085128784179688,0.002979333996772766,0.02,0.0,False,False,False
74,16,0.13495045959949492,APPROACH_DECIDE,33.56849670410156,11.302842591445309,16.283065795898438,13,0.12236404418945312,0.002413584589958191,0.02,0.0,False,False,False
74,17,0.14581471741199492,APPROACH_DECIDE,33.43526840209961,12.294113579036075,16.127321243286133,13,0.13322830200195312,0.002413584589958191,0.02,0.0,False,False,False
74,18,0.1559347741305828,APPROACH_DECIDE,33.292030334472656,13.248307535962358,15.959413528442383,13,0.14323806762695312,0.0023032934963703156,0.02,0.0,False,False,False
74,19,0.16573898896574973,APPROACH_DECIDE,33.13919448852539,14.154959857512404,15.779850959777832,13,0.15283584594726562,0.0020968569815158844,0.02,0.0,False,False,False
74,20,0.1794119626097381,APPROACH_DECIDE,32.97468566894531,15.013848083019028,15.587770462036133,13,0.16450881958007812,9.685697034001351e-05,0.02,0.0,False,False,False
74,21,0.18733306482434273,APPROACH_DECIDE,32.800933837890625,15.84668651255443,15.384801864624023,13,0.1737518310546875,0.0014187662303447725,0.02,0.0,False,False,False
74,22,0.1943771855533123,APPROACH_DECIDE,32.620182037353516,16.671439237731835,15.172407150268555,13,0.18075180053710938,0.0013746149837970735,0.02,0.0,False,False,False
74,23,0.20183491870760917,APPROACH_DECIDE,32.43197250366211,17.484701340935352,14.950395584106445,13,0.18820953369140625,0.0013746149837970735,0.02,0.0,False,False,False
74,24,0.2100570435076952,APPROACH_DECIDE,32.235877990722656,18.29285293363388,14.718639373779297,13,0.19609451293945312,0.001037469431757927,0.02,0.0,False,False,False
74,25,0.2193263767659664,APPROACH_DECIDE,32.03105926513672,19.06944502844981,14.476703643798828,13,0.2048187255859375,0.0004923488199710846,0.02,0.0,False,False,False
74,26,0.22232339806854723,APPROACH_DECIDE,31.823108673095703,19.119599887227874,14.23083782196045,13,0.20795059204101562,0.0006271939724683762,0.02,0.0,False,False,False
74,27,0.22174356408417223,APPROACH_DECIDE,31.615737915039062,19.28022919590247,13.985044479370117,13,0.20737075805664062,0.0006271939724683762,0.02,0.0,False,False,False
74,28,0.22370166916400192,APPROACH_DECIDE,31.406469345092773,19.610541503079197,13.736642837524414,13,0.20926856994628906,0.0005669007822871208,0.02,0.0,False,False,False
74,29,0.20822565883398056,APPROACH_DECIDE,31.19305419921875,20.078853843455004,13.48338508605957,13,0.21341514587402344,0.0001894870400428772,0.0,0.0,False,False,False
74,30,0.2140144619345665,APPROACH_DECIDE,30.97385025024414,20.654072894360233,13.223594665527344,13,0.21920394897460938,0.0001894870400428772,0.0,0.0,False,False,False
